freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.200E-02	1.068E+00	
7.943E+02	4.222E-02	8.480E-01	
6.310E+02	4.244E-02	6.732E-01	
5.012E+02	4.272E-02	5.344E-01	
3.981E+02	4.298E-02	4.241E-01	
3.162E+02	4.325E-02	3.366E-01	
2.512E+02	4.355E-02	2.670E-01	
1.995E+02	4.381E-02	2.117E-01	
1.585E+02	4.408E-02	1.679E-01	
1.259E+02	4.435E-02	1.331E-01	
1.000E+02	4.459E-02	1.054E-01	
7.943E+01	4.492E-02	8.383E-02	
6.310E+01	4.512E-02	6.638E-02	
5.200E+01	4.528E-02	5.457E-02	
3.981E+01	4.549E-02	4.160E-02	
3.162E+01	4.563E-02	3.290E-02	
2.512E+01	4.575E-02	2.604E-02	
1.995E+01	4.590E-02	2.060E-02	
1.585E+01	4.598E-02	1.629E-02	
1.259E+01	4.606E-02	1.286E-02	
1.000E+01	4.611E-02	1.012E-02	
7.943E+00	4.617E-02	7.983E-03	
6.310E+00	4.616E-02	6.306E-03	
5.012E+00	4.621E-02	4.969E-03	
3.981E+00	4.629E-02	3.795E-03	
3.162E+00	4.636E-02	2.987E-03	
2.512E+00	4.643E-02	2.263E-03	
1.995E+00	4.639E-02	1.661E-03	
1.585E+00	4.651E-02	1.157E-03	
1.259E+00	4.649E-02	6.818E-04	
1.000E+00	4.652E-02	4.512E-04	
7.943E-01	4.660E-02	7.669E-05	
6.310E-01	4.671E-02	-1.622E-04	
5.012E-01	4.705E-02	-1.556E-04	
3.981E-01	4.689E-02	-4.738E-04	
3.162E-01	4.704E-02	-6.997E-04	
2.512E-01	4.720E-02	-1.049E-03	
1.995E-01	4.731E-02	-1.290E-03	
1.585E-01	4.751E-02	-1.607E-03	
1.259E-01	4.779E-02	-1.860E-03	
1.000E-01	4.802E-02	-2.219E-03	
7.943E-02	4.812E-02	-2.548E-03	
6.310E-02	4.841E-02	-2.907E-03	
5.012E-02	4.878E-02	-3.346E-03	
3.981E-02	4.905E-02	-4.031E-03	
3.162E-02	4.960E-02	-4.778E-03	
2.512E-02	4.989E-02	-5.494E-03	
1.995E-02	5.059E-02	-6.319E-03	
1.585E-02	5.125E-02	-7.467E-03	
1.259E-02	5.212E-02	-8.438E-03	
1.000E-02	2.560E-01	-1.783E-02	
