freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.210E-02	1.068E+00	
7.943E+02	4.232E-02	8.479E-01	
6.310E+02	4.256E-02	6.731E-01	
5.012E+02	4.285E-02	5.343E-01	
3.981E+02	4.314E-02	4.240E-01	
3.162E+02	4.344E-02	3.364E-01	
2.512E+02	4.374E-02	2.668E-01	
1.995E+02	4.405E-02	2.116E-01	
1.585E+02	4.434E-02	1.678E-01	
1.259E+02	4.461E-02	1.330E-01	
1.000E+02	4.490E-02	1.053E-01	
7.943E+01	4.525E-02	8.372E-02	
6.310E+01	4.545E-02	6.627E-02	
5.200E+01	4.564E-02	5.445E-02	
3.981E+01	4.584E-02	4.152E-02	
3.162E+01	4.602E-02	3.280E-02	
2.512E+01	4.620E-02	2.595E-02	
1.995E+01	4.629E-02	2.057E-02	
1.585E+01	4.642E-02	1.624E-02	
1.259E+01	4.648E-02	1.281E-02	
1.000E+01	4.655E-02	1.007E-02	
7.943E+00	4.661E-02	7.931E-03	
6.310E+00	4.671E-02	6.234E-03	
5.012E+00	4.667E-02	4.845E-03	
3.981E+00	4.672E-02	3.742E-03	
3.162E+00	4.681E-02	2.851E-03	
2.512E+00	4.687E-02	2.178E-03	
1.995E+00	4.681E-02	1.571E-03	
1.585E+00	4.688E-02	1.074E-03	
1.259E+00	4.698E-02	6.923E-04	
1.000E+00	4.701E-02	3.603E-04	
7.943E-01	4.708E-02	-6.082E-06	
6.310E-01	4.716E-02	-3.053E-04	
5.012E-01	4.735E-02	-2.275E-04	
3.981E-01	4.749E-02	-5.939E-04	
3.162E-01	4.744E-02	-9.025E-04	
2.512E-01	4.759E-02	-1.302E-03	
1.995E-01	4.783E-02	-1.652E-03	
1.585E-01	4.805E-02	-2.019E-03	
1.259E-01	4.826E-02	-2.409E-03	
1.000E-01	4.855E-02	-2.862E-03	
7.943E-02	4.879E-02	-3.230E-03	
6.310E-02	4.914E-02	-3.904E-03	
5.012E-02	4.946E-02	-4.459E-03	
3.981E-02	4.987E-02	-5.426E-03	
3.162E-02	5.043E-02	-6.227E-03	
2.512E-02	5.097E-02	-7.434E-03	
1.995E-02	5.158E-02	-8.636E-03	
1.585E-02	5.263E-02	-1.023E-02	
1.259E-02	5.365E-02	-1.213E-02	
1.000E-02	5.473E-02	-1.409E-02	
