freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.212E-02	1.068E+00	
7.943E+02	4.236E-02	8.479E-01	
6.310E+02	4.260E-02	6.731E-01	
5.012E+02	4.289E-02	5.342E-01	
3.981E+02	4.320E-02	4.240E-01	
3.162E+02	4.350E-02	3.364E-01	
2.512E+02	4.380E-02	2.668E-01	
1.995E+02	4.410E-02	2.116E-01	
1.585E+02	4.438E-02	1.677E-01	
1.259E+02	4.468E-02	1.329E-01	
1.000E+02	4.495E-02	1.053E-01	
7.943E+01	4.530E-02	8.372E-02	
6.310E+01	4.554E-02	6.627E-02	
5.200E+01	4.573E-02	5.443E-02	
3.981E+01	4.595E-02	4.149E-02	
3.162E+01	4.614E-02	3.277E-02	
2.512E+01	4.629E-02	2.592E-02	
1.995E+01	4.642E-02	2.052E-02	
1.585E+01	4.652E-02	1.620E-02	
1.259E+01	4.659E-02	1.276E-02	
1.000E+01	4.667E-02	1.006E-02	
7.943E+00	4.675E-02	7.964E-03	
6.310E+00	4.677E-02	6.239E-03	
5.012E+00	4.686E-02	4.829E-03	
3.981E+00	4.685E-02	3.732E-03	
3.162E+00	4.697E-02	2.941E-03	
2.512E+00	4.699E-02	2.175E-03	
1.995E+00	4.697E-02	1.532E-03	
1.585E+00	4.700E-02	1.104E-03	
1.259E+00	4.705E-02	6.859E-04	
1.000E+00	4.715E-02	3.466E-04	
7.943E-01	4.717E-02	-7.187E-06	
6.310E-01	4.737E-02	-2.618E-04	
5.012E-01	4.731E-02	-2.083E-04	
3.981E-01	4.751E-02	-5.141E-04	
3.162E-01	4.768E-02	-9.554E-04	
2.512E-01	4.778E-02	-1.263E-03	
1.995E-01	4.796E-02	-1.521E-03	
1.585E-01	4.813E-02	-1.935E-03	
1.259E-01	4.843E-02	-2.325E-03	
1.000E-01	4.861E-02	-2.632E-03	
7.943E-02	4.893E-02	-3.081E-03	
6.310E-02	4.928E-02	-3.640E-03	
5.012E-02	4.953E-02	-4.124E-03	
3.981E-02	5.009E-02	-4.789E-03	
3.162E-02	5.057E-02	-5.630E-03	
2.512E-02	5.109E-02	-6.644E-03	
1.995E-02	5.163E-02	-7.764E-03	
1.585E-02	5.278E-02	-8.870E-03	
1.259E-02	5.376E-02	-1.055E-02	
1.000E-02	5.495E-02	-1.209E-02	
