frequency,gamma
3.16227766016838,1.78110042510855e-18
3.04878629930116,8.16606066112405e-18
2.93936804344738,3.6155046340206e-17
2.83387671245443,1.54581508064546e-16
2.73217137244667,6.38232133239832e-16
2.63411614754118,2.5446764177896e-15
2.53958003832083,9.79759688510008e-15
2.44843674682223,3.64283987229891e-14
2.36056450780468,1.30796047624115e-13
2.27584592607479,4.5350681956804e-13
2.19416781964925,1.51847791536303e-12
2.11542106854651,4.90986537415677e-12
2.03950046900506,1.5330925325779e-11
1.96630459293376,4.6228134624214e-11
1.89573565240638,1.34612534929895e-10
1.82769936901922,3.78536842080378e-10
1.76210484793751,1.02796256443002e-09
1.69886445646205,2.6958556916548e-09
1.63789370695406,6.8276428574385e-09
1.57911114396174,1.66995787014225e-08
1.52243823539771,3.94464533763259e-08
1.46779926762207,8.99885099829123e-08
1.41512124429079,1.9826859374773e-07
1.36433378883436,4.21912507135663e-07
1.31536905043638,8.67180924300577e-07
1.2681616133865,1.72162012241077e-06
1.22264840968663,3.30165692988181e-06
1.17876863479359,6.1168352140277e-06
1.13646366638572,1.09487151335328e-05
1.09567698604489,1.8936182430209e-05
1.05635410374919,3.16503413348792e-05
1.01844248507565,5.11328800951824e-05
0.981891481015469,7.98649455451168e-05
0.94665226030819,0.000120633477380994
0.912677744204287,0.000176272909426393
0.879922543569107,0.000249284308018424
0.848342898244072,0.000341369216118474
0.817896618584167,0.000452953926528302
0.788543029093588,0.00058280909484281
0.760242914084262,0.00072787581618248
0.732958465284632,0.000883383181074317
0.706653231328715,0.00104328430499202
0.681292069057961,0.00120096052650308
0.656841096570836,0.00135006922644799
0.633267647957418,0.00148536416392831
0.610540229658533,0.00160331569666511
0.588628478391113,0.00170240437019002
0.567503120583586,0.00178304143110877
0.54713593326709,0.00184715910459282
0.527499706370262,0.00189758581789671
0.508568206367245,0.00193735875468503
0.490316141230326,0.00196912291969138
0.472719126640397,0.00199472904746182
0.455753653410091,0.00201508602585364
0.439397056076079,0.00203026222688676
0.423627482618552,0.00203977712492378
0.408423865267452,0.00204298914849425
0.393765892356439,0.00203947348568923
0.379633981186992,0.00202929603142994
0.3660092518664,0.00201312324136429
0.352873502084675,0.00199215348961607
0.340209182796711,0.00196790132336614
0.327999374777175,0.00194189978598477
0.316227766016838,0.00191540007314597
0.304878629930116,0.00188914097360847
0.293936804344738,0.00186323737926302
0.283387671245443,0.00183720528721483
0.273217137244667,0.00181010811952512
0.263411614754118,0.001780782514711
0.253958003832083,0.00174808596209411
0.244843674682223,0.00171110683794799
0.236056450780468,0.00166929005306931
0.227584592607479,0.00162245563930989
0.219416781964925,0.00157071674470848
0.211542106854651,0.00151432951750537
0.203950046900506,0.00145352327800281
0.196630459293376,0.00138836192557564
