frequency,gamma
3.16227766016838,2.06322622790099e-18
3.04878629930116,9.45956053283717e-18
2.93936804344738,4.18819773016361e-17
2.83387671245443,1.79067043995375e-16
2.73217137244667,7.39327104987288e-16
2.63411614754118,2.94774781210601e-15
2.53958003832083,1.13495090561022e-14
2.44843674682223,4.21985255711927e-14
2.36056450780468,1.51513533059916e-13
2.27584592607479,5.2533960090132e-13
2.19416781964925,1.75899332282308e-12
2.11542106854651,5.68754098103135e-12
2.03950046900506,1.77591583973529e-11
1.96630459293376,5.35499670258519e-11
1.89573565240638,1.55932584799101e-10
1.82769936901922,4.38487994276926e-10
1.76210484793751,1.19076093856477e-09
1.69886445646205,3.12277785494024e-09
1.63789370695406,7.90882050697392e-09
1.57911114396174,1.93438111806363e-08
1.52243823539771,4.56918789083e-08
1.46779926762207,1.04234454155685e-07
1.41512124429079,2.29651701187149e-07
1.36433378883436,4.88683369202773e-07
1.31536905043638,1.00438842316837e-06
1.2681616133865,1.99394375679213e-06
1.22264840968663,3.8237288744196e-06
1.17876863479359,7.08364032498339e-06
1.13646366638572,1.26783063223659e-05
1.09567698604489,2.19255836726019e-05
1.05635410374919,3.6642762825605e-05
1.01844248507565,5.91901286981179e-05
0.981891481015469,9.24335767190445e-05
0.94665226030819,0.000139587904005086
0.912677744204287,0.000203915158039405
0.879922543569107,0.000288280553044316
0.848342898244072,0.000394609443929236
0.817896618584167,0.000523333639137918
0.788543029093588,0.00067294936242402
0.760242914084262,0.000839816462278868
0.732958465284632,0.00101829808124811
0.706653231328715,0.00120127234508938
0.681292069057961,0.00138095737610283
0.656841096570836,0.00154990410177827
0.633267647957418,0.00170195670572333
0.610540229658533,0.00183297852075516
0.588628478391113,0.00194119490134124
0.567503120583586,0.0020270982381311
0.54713593326709,0.00209296485688704
0.527499706370262,0.00214211835778515
0.508568206367245,0.0021781175545196
0.490316141230326,0.00220404335109179
0.472719126640397,0.00222201572660218
0.455753653410091,0.00223300599450391
0.439397056076079,0.00223693877315521
0.423627482618552,0.00223301777697693
0.408423865267452,0.00222017013024951
0.393765892356439,0.00219749121467806
0.379633981186992,0.0021645868595968
0.3660092518664,0.00212174697271038
0.352873502084675,0.00206993383920262
0.340209182796711,0.00201061536822581
0.327999374777175,0.00194550584958075
0.316227766016838,0.00187628742719083
0.304878629930116,0.00180437554631622
0.293936804344738,0.00173076849275797
0.283387671245443,0.00165599445548282
0.273217137244667,0.00158014705867933
0.263411614754118,0.00150298588809832
0.253958003832083,0.00142407263794087
0.244843674682223,0.00134291481802086
0.236056450780468,0.00125909556814853
0.227584592607479,0.00117237761424413
0.219416781964925,0.00108277864603159
0.211542106854651,0.000990621095341391
0.203950046900506,0.000896559455095541
0.196630459293376,0.000801583711409417
0.189573565240638,0.000706991888503176
0.182769936901922,0.000614322953724544
0.176210484793751,0.00052524647381671
0.169886445646205,0.000441416677685737
0.163789370695406,0.000364311415148268
0.157911114396174,0.000295084890590301
0.152243823539771,0.000234462694659994
0.146779926762207,0.000182698166310412
0.141512124429079,0.000139594066823893
0.136433378883436,0.000104578554452211
0.131536905043638,7.681450729373e-05
0.12681616133865,5.53187591349584e-05
0.122264840968662,3.90721639423802e-05
0.117876863479359,2.71098958008338e-05
0.113646366638572,1.85908325062025e-05
0.109567698604489,1.28528671391418e-05
0.105635410374919,9.46642489268482e-06
0.101844248507565,8.30117199252911e-06
0.0981891481015468,9.62095169295358e-06
0.094665226030819,1.42190062590144e-05
0.0912677744204287,2.35985934359192e-05
0.0879922543569107,4.01921376098736e-05
0.0848342898244072,6.75949914156349e-05
0.0817896618584167,0.00011076986162814
0.0788543029093588,0.000176160139685206
0.0760242914084262,0.000271642572920683
0.0732958465284632,0.000406260204577114
0.0706653231328715,0.000589710306633235
0.0681292069057961,0.000831616691949218
0.0656841096570836,0.00114067905755561
0.0633267647957418,0.00152384347272757
0.0610540229658533,0.00198565588824547
0.0588628478391113,0.00252793108241323
0.0567503120583586,0.00314979621017051
0.0547135933267089,0.003848073463976
0.0527499706370262,0.00461788404527372
0.0508568206367245,0.00545331587880873
0.0490316141230326,0.00634801195362955
0.0472719126640397,0.00729559187163655
0.0455753653410091,0.00828988588236355
0.0439397056076079,0.00932500822437106
0.0423627482618552,0.0103953117113343
0.0408423865267452,0.0114952570579281
0.0393765892356439,0.0126192195903457
0.0379633981186992,0.0137612585194643
0.03660092518664,0.0149148882283786
0.0352873502084675,0.0160729009401191
0.0340209182796711,0.0172272807722062
0.0327999374777175,0.0183692219830323
0.0316227766016838,0.0194892379511517
0.0304878629930117,0.020577342692656
0.0293936804344738,0.0216233060308359
0.0283387671245443,0.0226170048308835
0.0273217137244667,0.0235488845003447
0.0263411614754118,0.0244104932825228
0.0253958003832083,0.025194977629149
0.0244843674682223,0.0258973772610796
0.0236056450780468,0.0265145758128239
0.0227584592607479,0.0270448537946572
0.0219416781964925,0.027487118553701
0.0211542106854651,0.0278399943570398
0.0203950046900506,0.0281010034536484
0.0196630459293376,0.0282660513489152
0.0189573565240638,0.0283293703651827
0.0182769936901922,0.028283999663276
0.0176210484793751,0.0281227920017979
0.0169886445646205,0.0278398271012931
0.0163789370695406,0.0274319791178894
0.0157911114396174,0.0269002657982858
0.0152243823539771,0.0262505622771557
0.0146779926762207,0.0254933490519001
0.0141512124429079,0.0246423882722342
0.0136433378883436,0.0237125261129801
0.0131536905043638,0.0227170995718857
0.012681616133865,0.0216655865481214
0.0122264840968663,0.0205621287301998
0.0117876863479359,0.0194053868066399
0.0113646366638572,0.0181899061028887
0.0109567698604489,0.016908839129682
0.0105635410374919,0.0155575475788802
0.0101844248507565,0.0141373475708363
0.00981891481015468,0.0126585321640267
0.0094665226030819,0.0111418649684416
0.00912677744204288,0.00961801628842071
0.00879922543569107,0.00812487112806733
0.00848342898244072,0.00670316392064519
0.00817896618584167,0.00539132961286865
