freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.205E-02	1.068E+00	
7.943E+02	4.228E-02	8.479E-01	
6.310E+02	4.252E-02	6.732E-01	
5.012E+02	4.281E-02	5.343E-01	
3.981E+02	4.308E-02	4.240E-01	
3.162E+02	4.338E-02	3.365E-01	
2.512E+02	4.366E-02	2.669E-01	
1.995E+02	4.394E-02	2.117E-01	
1.585E+02	4.423E-02	1.679E-01	
1.259E+02	4.450E-02	1.330E-01	
1.000E+02	4.476E-02	1.054E-01	
7.943E+01	4.508E-02	8.385E-02	
6.310E+01	4.529E-02	6.641E-02	
5.200E+01	4.546E-02	5.457E-02	
3.981E+01	4.565E-02	4.161E-02	
3.162E+01	4.578E-02	3.293E-02	
2.512E+01	4.593E-02	2.607E-02	
1.995E+01	4.600E-02	2.062E-02	
1.585E+01	4.611E-02	1.627E-02	
1.259E+01	4.618E-02	1.292E-02	
1.000E+01	4.622E-02	1.020E-02	
7.943E+00	4.630E-02	8.006E-03	
6.310E+00	4.631E-02	6.323E-03	
5.012E+00	4.639E-02	4.927E-03	
3.981E+00	4.644E-02	3.805E-03	
3.162E+00	4.644E-02	3.004E-03	
2.512E+00	4.648E-02	2.263E-03	
1.995E+00	4.650E-02	1.651E-03	
1.585E+00	4.653E-02	1.178E-03	
1.259E+00	4.659E-02	7.256E-04	
1.000E+00	4.663E-02	4.053E-04	
7.943E-01	4.674E-02	9.877E-05	
6.310E-01	4.677E-02	-2.265E-04	
5.012E-01	4.698E-02	-2.462E-04	
3.981E-01	4.696E-02	-4.585E-04	
3.162E-01	4.717E-02	-8.533E-04	
2.512E-01	4.729E-02	-1.098E-03	
1.995E-01	4.743E-02	-1.376E-03	
1.585E-01	4.759E-02	-1.773E-03	
1.259E-01	4.786E-02	-2.032E-03	
1.000E-01	4.814E-02	-2.383E-03	
7.943E-02	4.838E-02	-2.814E-03	
6.310E-02	4.870E-02	-3.282E-03	
5.012E-02	4.894E-02	-3.802E-03	
3.981E-02	2.522E-01	-2.844E-02	
3.162E-02	4.991E-02	-5.670E-03	
2.512E-02	5.037E-02	-6.434E-03	
1.995E-02	5.070E-02	-7.572E-03	
1.585E-02	5.143E-02	-8.376E-03	
1.259E-02	5.257E-02	-9.794E-03	
1.000E-02	5.394E-02	-1.113E-02	
