frequency,gamma
3.16227766016838,1.81632776077127e-18
3.04878629930116,8.32757150156244e-18
2.93936804344738,3.68701271330099e-17
2.83387671245443,1.57638822700255e-16
2.73217137244667,6.50854964638391e-16
2.63411614754118,2.59500388769551e-15
2.53958003832083,9.99136626188185e-15
2.44843674682223,3.71488373461696e-14
2.36056450780468,1.33382715819903e-13
2.27584592607479,4.6247525037401e-13
2.19416781964925,1.54850577264212e-12
2.11542106854651,5.00695314761402e-12
2.03950046900506,1.56340611573633e-11
1.96630459293376,4.7142127504897e-11
1.89573565240638,1.37273759320162e-10
1.82769936901922,3.86019462976743e-10
1.76210484793751,1.04827958782012e-09
1.69886445646205,2.74912795703503e-09
1.63789370695406,6.96253225503543e-09
1.57911114396174,1.702940938245e-08
1.52243823539771,4.02252824404445e-08
1.46779926762207,9.17644680389169e-08
1.41512124429079,2.02179385652423e-07
1.36433378883436,4.30229008284813e-07
1.31536905043638,8.84259972313389e-07
1.2681616133865,1.75549187312139e-06
1.22264840968663,3.36653045856101e-06
1.17876863479359,6.23682919766172e-06
1.13646366638572,1.11630640472628e-05
1.09567698604489,1.9305978945349e-05
1.05635410374919,3.22665056401648e-05
1.01844248507565,5.21244842431625e-05
0.981891481015469,8.14063212505489e-05
0.94665226030819,0.000122947849209971
0.912677744204287,0.000179629867372626
0.879922543569107,0.000253988560603904
0.848342898244072,0.000347739000786284
0.817896618584167,0.000461289281366431
0.788543029093588,0.000593352712081292
0.760242914084262,0.000740771872220946
0.732958465284632,0.000898641590323805
0.706653231328715,0.00106075846060973
0.681292069057961,0.00122034521425318
0.656841096570836,0.00137092200030177
0.633267647957418,0.00150714867435023
0.610540229658533,0.00162546042753748
0.588628478391113,0.00172436634647887
0.567503120583586,0.00180436286139407
0.54713593326709,0.00186750616245928
0.527499706370262,0.0019167625844901
0.508568206367245,0.00195529476138884
0.490316141230326,0.00198583835498885
0.472719126640397,0.00201028614412649
0.455753653410091,0.00202953742915204
0.439397056076079,0.00204360688274056
0.423627482618552,0.00205193169317584
