freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	9.852E-02	4.221E-01	
7.943E+02	9.878E-02	3.348E-01	
6.310E+02	9.902E-02	2.653E-01	
5.012E+02	9.932E-02	2.104E-01	
3.981E+02	9.962E-02	1.667E-01	
3.162E+02	9.992E-02	1.320E-01	
2.512E+02	1.002E-01	1.045E-01	
1.995E+02	1.005E-01	8.266E-02	
1.585E+02	1.008E-01	6.532E-02	
1.259E+02	1.011E-01	5.162E-02	
1.000E+02	1.014E-01	4.071E-02	
7.943E+01	1.018E-01	3.260E-02	
6.310E+01	1.020E-01	2.566E-02	
5.200E+01	1.022E-01	2.101E-02	
3.981E+01	1.024E-01	1.592E-02	
3.162E+01	1.026E-01	1.250E-02	
2.512E+01	1.026E-01	9.872E-03	
1.995E+01	1.028E-01	7.733E-03	
1.585E+01	1.028E-01	6.086E-03	
1.259E+01	1.029E-01	4.778E-03	
1.000E+01	1.029E-01	3.698E-03	
7.943E+00	1.030E-01	2.852E-03	
6.310E+00	1.031E-01	2.236E-03	
5.012E+00	1.032E-01	1.721E-03	
3.981E+00	1.032E-01	1.256E-03	
3.162E+00	1.032E-01	9.236E-04	
2.512E+00	1.032E-01	5.812E-04	
1.995E+00	1.032E-01	3.461E-04	
1.585E+00	1.033E-01	2.730E-04	
1.259E+00	1.034E-01	-2.318E-05	
1.000E+00	1.034E-01	-1.848E-04	
7.943E-01	1.034E-01	-4.233E-04	
6.310E-01	1.036E-01	-5.846E-04	
5.012E-01	1.033E-01	-1.037E-04	
3.981E-01	1.035E-01	-4.279E-04	
3.162E-01	1.037E-01	-8.188E-04	
2.512E-01	1.037E-01	-1.037E-03	
1.995E-01	1.039E-01	-1.355E-03	
1.585E-01	1.040E-01	-1.639E-03	
1.259E-01	1.042E-01	-1.977E-03	
1.000E-01	1.046E-01	-2.292E-03	
7.943E-02	1.047E-01	-2.815E-03	
6.310E-02	1.052E-01	-3.191E-03	
5.012E-02	1.054E-01	-3.678E-03	
3.981E-02	1.058E-01	-4.280E-03	
3.162E-02	1.062E-01	-4.911E-03	
2.512E-02	1.068E-01	-5.853E-03	
1.995E-02	1.074E-01	-6.795E-03	
1.585E-02	1.083E-01	-7.883E-03	
1.259E-02	1.092E-01	-9.195E-03	
1.000E-02	1.102E-01	-1.047E-02	
