time /s	I /mA	E /V
40.000	-2629.589	3.661
40.200	-2629.261	3.661
40.400	-2628.680	3.661
40.600	-2628.452	3.661
40.800	-2627.963	3.661
41.000	-2627.512	3.661
41.200	-2627.200	3.660
41.400	-2626.891	3.660
41.600	-2626.216	3.660
41.800	-2626.373	3.660
42.000	-2626.529	3.660
42.200	-2626.498	3.660
42.400	-2626.241	3.659
42.600	-2625.612	3.659
42.800	-2625.339	3.659
43.000	-2625.205	3.659
43.200	-2624.927	3.659
43.400	-2624.316	3.659
43.600	-2624.007	3.659
43.800	-2623.937	3.659
44.000	-2623.816	3.658
44.200	-2623.452	3.658
44.400	-2623.412	3.658
44.600	-2623.592	3.658
44.800	-2623.416	3.658
45.000	-2622.824	3.658
45.200	-2622.256	3.658
45.400	-2621.657	3.658
45.600	-2621.612	3.657
45.800	-2621.226	3.657
46.000	-2621.086	3.657
46.200	-2620.718	3.657
46.400	-2620.597	3.657
46.600	-2620.787	3.657
46.800	-2620.761	3.656
47.000	-2620.591	3.656
47.200	-2619.989	3.656
47.400	-2620.104	3.656
47.600	-2620.240	3.656
47.800	-2620.112	3.656
48.000	-2619.657	3.656
48.200	-2619.099	3.655
48.400	-2618.998	3.655
48.600	-2618.524	3.655
48.800	-2618.296	3.655
49.000	-2618.242	3.655
49.200	-2618.192	3.655
49.400	-2617.682	3.655
49.600	-2617.349	3.654
49.800	-2617.224	3.654
50.000	-2617.380	3.654
50.200	-2616.853	3.654
50.400	-2616.379	3.654
50.600	-2616.062	3.654
50.800	-2615.816	3.654
51.000	-2615.464	3.653
51.200	-2615.442	3.653
51.400	-2615.447	3.653
51.600	-2615.889	3.653
51.800	-2615.869	3.653
52.000	-2615.311	3.653
52.200	-2614.960	3.653
52.400	-2614.391	3.652
52.600	-2613.937	3.652
52.800	-2613.468	3.652
53.000	-2613.387	3.652
53.200	-2613.701	3.652
53.400	-2614.014	3.652
53.600	-2614.130	3.651
53.800	-2613.702	3.651
54.000	-2613.217	3.651
54.200	-2613.153	3.651
54.400	-2613.079	3.651
54.600	-2612.884	3.651
54.800	-2612.782	3.650
55.000	-2612.302	3.650
55.200	-2611.928	3.650
55.400	-2611.661	3.650
55.600	-2611.632	3.650
55.800	-2611.583	3.650
56.000	-2611.432	3.650
56.200	-2611.374	3.649
56.400	-2611.482	3.649
56.600	-2611.332	3.649
56.800	-2611.093	3.649
57.000	-2611.109	3.649
57.200	-2610.913	3.649
57.400	-2610.695	3.649
57.600	-2610.513	3.648
57.800	-2610.353	3.648
58.000	-2609.930	3.648
58.200	-2609.860	3.648
58.400	-2609.832	3.648
58.600	-2609.481	3.648
58.800	-2609.348	3.647
59.000	-2609.079	3.647
59.200	-2608.670	3.647
59.400	-2608.090	3.647
59.600	-2607.887	3.647
59.800	-2607.916	3.647
60.000	-2607.871	3.647
60.200	-2607.747	3.646
60.400	-2607.809	3.646
60.600	-2607.920	3.646
60.800	-2607.519	3.646
61.000	-2607.423	3.646
61.200	-2607.327	3.646
61.400	-2607.305	3.645
61.600	-2607.049	3.645
61.800	-2606.873	3.645
62.000	-2606.437	3.645
62.200	-2606.965	3.645
62.400	-2607.004	3.644
62.600	-2606.644	3.644
62.800	-2606.737	3.644
63.000	-2606.773	3.644
63.200	-2606.274	3.644
63.400	-2605.967	3.644
63.600	-2605.832	3.644
63.800	-2605.786	3.643
64.000	-2605.348	3.643
64.200	-2604.702	3.643
64.400	-2604.463	3.643
64.600	-2604.214	3.643
64.800	-2604.471	3.643
65.000	-2604.306	3.643
65.200	-2604.320	3.642
65.400	-2604.388	3.642
65.600	-2604.836	3.642
65.800	-2604.912	3.642
66.000	-2604.475	3.642
66.200	-2604.396	3.641
66.400	-2604.137	3.641
66.600	-2603.735	3.641
66.800	-2604.052	3.641
67.000	-2604.375	3.641
67.200	-2604.625	3.641
67.400	-2604.409	3.640
67.600	-2604.184	3.640
67.800	-2604.050	3.640
68.000	-2603.524	3.640
68.200	-2603.142	3.640
68.400	-2602.984	3.640
68.600	-2602.810	3.639
68.800	-2602.329	3.639
69.000	-2601.936	3.639
69.200	-2602.240	3.639
69.400	-2601.835	3.639
69.600	-2601.597	3.639
69.800	-2601.437	3.638
70.000	-2601.344	3.638
70.200	-2601.176	3.638
70.400	-2601.159	3.638
70.600	-2601.121	3.638
70.800	-2600.822	3.638
71.000	-2600.844	3.638
71.200	-2600.553	3.637
71.400	-2600.658	3.637
71.600	-2600.693	3.637
71.800	-2600.070	3.637
72.000	-2599.986	3.637
72.200	-2599.760	3.637
72.400	-2600.303	3.636
72.600	-2600.376	3.636
72.800	-2600.258	3.636
73.000	-2600.109	3.636
73.200	-2600.195	3.636
73.400	-2600.042	3.636
73.600	-2599.967	3.635
73.800	-2599.866	3.635
74.000	-2599.344	3.635
74.200	-2599.236	3.635
74.400	-2598.814	3.635
74.600	-2598.655	3.635
74.800	-2598.489	3.635
75.000	-2598.068	3.635
75.200	-2597.838	3.634
75.400	-2597.679	3.634
75.600	-2597.671	3.634
75.800	-2597.365	3.634
76.000	-2597.156	3.634
76.200	-2596.877	3.634
76.400	-2596.832	3.634
76.600	-2596.618	3.633
76.800	-2596.611	3.633
77.000	-2596.241	3.633
77.200	-2596.174	3.633
77.400	-2596.210	3.633
77.600	-2596.133	3.633
77.800	-2595.925	3.632
78.000	-2596.130	3.632
78.200	-2596.061	3.632
78.400	-2595.578	3.632
78.600	-2595.484	3.632
78.800	-2595.116	3.632
79.000	-2594.697	3.632
79.200	-2594.393	3.631
79.400	-2594.454	3.631
79.600	-2594.584	3.631
79.800	-2594.663	3.631
80.000	-2594.801	3.631
80.200	-2594.406	3.631
80.400	-2593.976	3.631
80.600	-2594.298	3.630
80.800	-2594.209	3.630
81.000	-2594.264	3.630
81.200	-2593.700	3.630
81.400	-2593.496	3.630
81.600	-2593.546	3.630
81.800	-2593.526	3.630
82.000	-2593.479	3.629
82.200	-2593.386	3.629
82.400	-2593.185	3.629
82.600	-2592.948	3.629
82.800	-2592.989	3.629
83.000	-2593.048	3.629
83.200	-2593.322	3.629
83.400	-2593.345	3.628
83.600	-2592.931	3.628
83.800	-2592.891	3.628
84.000	-2592.564	3.628
84.200	-2592.299	3.628
84.400	-2591.980	3.628
84.600	-2592.361	3.628
84.800	-2592.217	3.628
85.000	-2591.878	3.627
