freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.484E-01	4.221E-01	
7.943E+02	1.486E-01	3.348E-01	
6.310E+02	1.488E-01	2.656E-01	
5.012E+02	1.491E-01	2.106E-01	
3.981E+02	1.494E-01	1.669E-01	
3.162E+02	1.497E-01	1.322E-01	
2.512E+02	1.499E-01	1.046E-01	
1.995E+02	1.502E-01	8.275E-02	
1.585E+02	1.505E-01	6.539E-02	
1.259E+02	1.508E-01	5.159E-02	
1.000E+02	1.510E-01	4.064E-02	
7.943E+01	1.515E-01	3.266E-02	
6.310E+01	1.516E-01	2.566E-02	
5.200E+01	1.518E-01	2.087E-02	
3.981E+01	1.521E-01	1.565E-02	
3.162E+01	1.523E-01	1.220E-02	
2.512E+01	1.525E-01	9.397E-03	
1.995E+01	1.528E-01	7.134E-03	
1.585E+01	1.530E-01	5.360E-03	
1.259E+01	1.532E-01	4.137E-03	
1.000E+01	1.533E-01	3.068E-03	
7.943E+00	1.535E-01	2.202E-03	
6.310E+00	1.537E-01	1.612E-03	
5.012E+00	1.539E-01	9.992E-04	
3.981E+00	1.540E-01	5.532E-04	
3.162E+00	1.541E-01	3.693E-04	
2.512E+00	1.542E-01	1.054E-04	
1.995E+00	1.543E-01	-9.705E-05	
1.585E+00	1.544E-01	-3.720E-04	
1.259E+00	1.545E-01	-4.699E-04	
1.000E+00	1.545E-01	-7.099E-04	
7.943E-01	1.547E-01	-1.011E-03	
6.310E-01	1.548E-01	-1.167E-03	
5.012E-01	1.419E-01	-4.334E-04	
3.981E-01	1.422E-01	-8.115E-04	
3.162E-01	1.423E-01	-1.267E-03	
2.512E-01	1.424E-01	-1.705E-03	
1.995E-01	1.427E-01	-2.068E-03	
1.585E-01	1.429E-01	-2.506E-03	
1.259E-01	1.433E-01	-3.046E-03	
1.000E-01	1.436E-01	-3.556E-03	
7.943E-02	1.440E-01	-4.227E-03	
6.310E-02	1.443E-01	-4.890E-03	
5.012E-02	1.448E-01	-5.879E-03	
3.981E-02	1.454E-01	-6.849E-03	
3.162E-02	1.460E-01	-8.168E-03	
2.512E-02	1.468E-01	-9.423E-03	
1.995E-02	1.477E-01	-1.124E-02	
1.585E-02	1.486E-01	-1.321E-02	
1.259E-02	1.501E-01	-1.531E-02	
1.000E-02	1.517E-01	-1.825E-02	
