frequency,gamma
31.6227766016838,6.35692124336632e-78
30.3204162960459,2.15106086599469e-76
29.0716927215232,6.9498282876859e-75
27.874396889626,2.1439317526241e-73
26.7264107873963,6.31485445394511e-72
25.6257036306496,1.77595207151063e-70
24.5703282715225,4.76886077788328e-69
23.5584177539742,1.22268209827523e-67
22.5881820111464,2.99314647583437e-66
21.6579046987401,6.99613038221589e-65
20.765940158807,1.5613609952913e-63
19.9107105085857,3.32708782357706e-62
19.0907028492315,6.76925246150386e-61
18.3044665895021,1.3150209333041e-59
17.5506108796662,2.43915910106186e-58
16.8278021510944,4.31979464020845e-57
16.1347617571795,7.3046865155901e-56
15.4702637114147,1.17938493070682e-54
14.8331325186268,1.81813060462833e-53
14.2222410955284,2.67614778568921e-52
13.6365087769109,3.7610631264514e-51
13.0748994039507,5.04692288646216e-50
12.5364194912473,6.46633551129027e-49
12.0201164693502,7.91052528388983e-48
11.5250769996664,9.2399142083324e-47
11.050425358767,1.03049547289884e-45
10.5953218892346,1.09733638284331e-44
10.1589615143123,1.11570407771411e-43
9.74057231372456,1.08311314316967e-42
9.33941415815277,1.00395491850889e-41
8.95477739994846,8.88526119764216e-41
8.58598161776862,7.50830343411446e-40
8.23237441291226,6.05799758630326e-39
7.89333025522893,4.66693858605313e-38
7.56824937655766,3.4328185133922e-37
7.25655670973875,2.41093468334811e-36
6.95770087132161,1.61672437389655e-35
6.67115318616897,1.03514834476062e-34
6.39640675223206,6.32827617520475e-34
6.13297554384229,3.69389621796835e-33
5.88039355193324,2.05873598265516e-32
5.63821395967191,1.09555368789872e-31
5.40600835204101,5.56652498178669e-31
5.183365957974,2.70055308101288e-30
4.96989292370222,1.25095033340712e-29
4.7652116160287,5.53282784736016e-29
4.56895995429606,2.33655070394961e-28
4.3807907698669,9.42162466788907e-28
4.20037119198342,3.62744604414153e-27
4.02738205891998,1.33353170205252e-26
3.86151735338693,4.68097640590708e-26
3.70248366118688,1.56893561618157e-25
3.54999965216581,5.02130663637035e-25
3.40379558254078,1.53456375799694e-24
3.26361281772403,4.47859505770445e-24
3.129203374799,1.24847599515053e-23
3.00032948383936,3.32661119340484e-23
2.87676316729462,8.49253943082552e-23
2.75828583669848,2.09426316952804e-22
2.64468790598647,5.12584137068049e-22
2.5357684207388,1.34735579975775e-21
2.43133470269254,4.43889945743608e-21
2.33120200889429,2.03224122665959e-20
2.23519320489049,1.16680570561984e-19
2.14313845137697,7.19686321020649e-19
2.0548749037538,4.40585671817722e-18
1.97024642405357,2.60511165559471e-17
1.88910330473382,1.47563838163742e-16
1.81130200384477,7.98858941592288e-16
1.73670489110407,4.13055756956598e-15
1.66518000442917,2.03947057901528e-14
1.59660081649679,9.61565635008054e-14
1.53084601091644,4.32906757275695e-13
1.46779926762207,1.86111007614259e-12
1.40734905710218,7.64055061754846e-12
1.34938844310444,2.99549744343844e-11
1.29381489346579,1.12157078327438e-10
1.24053009873327,4.01075200244585e-10
1.18943979825494,1.36994195908861e-09
1.14045361343299,4.46993977055598e-09
1.09348488784432,1.39342308906711e-08
1.0484505339455,4.15069673738945e-08
1.00527088609122,1.18170984456979e-07
0.963869559605896,3.21642291753148e-07
0.924173315659482,8.37259271992282e-07
0.886111931708126,2.0852682512849e-06
0.849618077270709,4.9718284826897e-06
0.814627194821417,1.13557173892817e-05
0.781077385587648,2.48663664435026e-05
0.748909300051269,5.22557802220212e-05
0.718066032959476,0.000105506412528309
0.688493022659568,0.000204934547214713
0.660137954579533,0.000383506436875286
0.632950668683721,0.000692497745076359
0.606883070739878,0.00120843059836339
0.581889047240589,0.00204083122201482
0.557924383828609,0.00333963485694515
0.534946687081791,0.00529990463574328
0.512915309519243,0.00815997248780967
0.491791277696045,0.0121875904942271
0.47153722325934,0.0176481968484652
0.452117316843817,0.024751371488924
0.43349720468967,0.0335771860049908
0.415643947870888,0.043993358451847
0.398525964026394,0.0555845627902944
0.382112971490931,0.0676222718856984
0.366375935726885,0.0791017351937617
0.351287017962269,0.0888588611010485
0.336819525944013,0.0957556787429638
0.322947866719443,0.0988964000224464
0.309647501362422,0.0978180806595775
0.296894901564057,0.0926000109580086
0.284667508011187,0.0838568013814978
0.272943690479019,0.0726149906205116
0.261702709567328,0.0601085240810751
0.25092468001251,0.0475507818300935
0.240590535510607,0.0359421806926186
0.230681994989074,0.0259542384373325
0.221181530267607,0.0179025934843141
0.212072335050845,0.0117946681446952
0.203338295198081,0.00742138713938837
0.19496396021739,0.00445952573258335
0.186934515933754,0.00255903800658605
0.179235758282827,0.00140227729266191
0.171854068183988,0.000733750169888025
0.16477638744822,0.000366615127307423
0.157990195678218,0.000174909410333097
0.151483488119834,7.96803046963423e-05
0.145244754425705,3.465927325902e-05
0.13926295829348,1.43951165996931e-05
0.133527517942632,5.70867817898496e-06
0.128028287395319,2.16161592521069e-06
0.122755538528176,7.81524347841636e-07
0.117699943863291,2.69790264533312e-07
0.112852560067929,8.89260207887922e-08
0.108204812133794,2.79865604095524e-08
0.103748478207868,8.40983934051296e-09
0.0994756750479753,2.41292004220395e-09
0.0953788440773477,6.61020417243188e-10
0.0914507380135256,1.72903291116586e-10
0.0876844080479348,4.3182509994461e-11
0.0840731915534634,1.02974238841234e-11
0.0806107002982935,2.34458138565913e-12
0.0772908091451371,5.09704194073392e-13
0.0741076452158855,1.05800682546205e-13
0.0710555775025043,2.09692384590194e-14
0.0681292069057962,3.96859562883319e-15
0.0653233566844093,7.17559089421926e-16
0.0626330632971971,1.24303031337447e-16
0.060053567622727,2.09962940416324e-17
0.0575803065404091,3.83363988410697e-18
0.0552089048583474,1.11891066277462e-18
0.0529351675736391,7.16926407382366e-19
0.050755072451425,6.69440153839462e-19
0.048664762909568,6.75158868550041e-19
0.0466605411963701,6.89894995799425e-19
0.04473886184926,7.07492300570103e-19
0.0428963254228795,7.27163335826844e-19
0.0411296724754749,7.48849149495865e-19
0.0394357778029528,7.72591022325421e-19
0.0378116449104039,7.98448696214087e-19
0.0362544007113109,8.26488485519631e-19
0.0347612904450673,8.56779849507186e-19
0.0333296728038133,8.89394398027645e-19
0.0319570152599696,9.24407211642853e-19
0.0306408895862034,9.61899333199155e-19
0.029378967559901,1.00195968336543e-18
0.0281690168445485,1.04468583859028e-18
0.027008897040735,1.09018457466144e-18
0.0258965558997916,1.13857282263056e-18
0.0248300256933699,1.18997789414237e-18
0.0238074197325356,1.24453492950231e-18
0.0228269290302212,1.30238125064801e-18
0.0218868191011333,1.36365025064357e-18
0.0209854268934523,1.4284682145876e-18
0.0201211578468992,1.49695444784688e-18
0.0192924830719625,1.56922049417447e-18
0.0184979366452968,1.64536156655985e-18
0.017736113016509,1.72543306192527e-18
0.0170056645217434,1.80940378055569e-18
0.016305298999668,1.89707225619275e-18
0.0156337775056448,1.98792597210858e-18
0.0149899121200403,2.08092329594007e-18
0.0143725638467992,2.1741928740511e-18
0.0137806405985629,2.26467751950657e-18
0.013213095264771,2.34779497371373e-18
0.0126689238593248,2.41723662950415e-18
0.0121471637445392,2.46506154491146e-18
0.0116468919282393,2.48224219438907e-18
0.0111672234309895,2.45975106758845e-18
0.0107073097205681,2.3901281468643e-18
0.0102663372109151,2.26926354997129e-18
0.00984352582290193,2.097943788075e-18
0.00943812760437273,1.88264726433829e-18
0.00904942540701965,1.63520731458155e-18
0.00867673161774923,1.37127573660298e-18
0.00831938694229691,1.10790498945759e-18
0.00797675923893727,8.60862055950171e-19
0.00764824240022713,6.42363756470671e-19
0.00733325528080315,4.59754856831532e-19
0.00703124066933735,3.15319962088603e-19
0.00674166430283181,2.07072413472612e-19
0.00646401392150898,1.30128719685558e-19
0.00619779836262552,7.82157708741934e-20
0.00594254669160682,4.49490513501564e-20
0.00569780736896503,2.4690055780957e-20
0.00546314745152704,1.29597735399721e-20
0.00523815182655916,6.49930929797284e-21
0.00502242247743388,3.11364812573237e-21
0.0048155777795396,1.42480730064167e-21
0.00461725182518776,6.22715143475714e-22
0.00442709377632311,2.59920285112539e-22
0.00424476724389229,1.03606172743029e-22
0.00406994969277241,3.94373854522871e-23
0.00390233187120744,1.4334874219948e-23
0.00374161726374265,4.9754488918631e-24
0.00358752156668965,1.64897841497305e-24
0.00343977218519392,5.21837817936996e-25
0.00329810775101532,1.57684499396663e-25
0.00316227766016838,4.54958149896865e-26
