frequency,gamma
31.6227766016838,1.02586668607649e-63
30.3204162960459,3.47133714792879e-62
29.0716927215232,1.12154879205833e-60
27.874396889626,3.45983235064664e-59
26.7264107873963,1.01907804579801e-57
25.6257036306496,2.86599443905185e-56
24.5703282715225,7.69588817782345e-55
23.5584177539742,1.97313891428089e-53
22.5881820111464,4.83027751398459e-52
21.6579046987401,1.12902098088812e-50
20.765940158807,2.51969196550749e-49
19.9107105085857,5.36918538392098e-48
19.0907028492315,1.09240796438439e-46
18.3044665895021,2.12215366389858e-45
17.5506108796662,3.93626483513976e-44
16.8278021510944,6.97119622925722e-43
16.1347617571795,1.17881545666695e-41
15.4702637114147,1.90326760377908e-40
14.8331325186268,2.93406284929146e-39
14.2222410955284,4.31871452853666e-38
13.6365087769109,6.06953076768215e-37
13.0748994039507,8.14462849136899e-36
12.5364194912473,1.04352532600447e-34
12.0201164693502,1.27658657809411e-33
11.5250769996664,1.49112186003784e-32
11.050425358767,1.66299753265136e-31
10.5953218892346,1.77086602408979e-30
10.1589615143123,1.80050974275239e-29
9.74057231372456,1.74791762687118e-28
9.33941415815277,1.62017611308392e-27
8.95477739994846,1.43390157612349e-26
8.58598161776862,1.21169248355578e-25
8.23237441291226,9.77645868221452e-25
7.89333025522893,7.53159527527934e-24
7.56824937655766,5.53998824809014e-23
7.25655670973875,3.89087655700314e-22
6.95770087132161,2.60917468817648e-21
6.67115318616897,1.6706151444294e-20
6.39640675223206,1.02133405727441e-19
6.13297554384229,5.96180979771894e-19
5.88039355193324,3.32283135189015e-18
5.63821395967191,1.76831497006751e-17
5.40600835204101,8.98532337713355e-17
5.183365957974,4.3594595729623e-16
4.96989292370222,2.01957108650893e-15
4.7652116160287,8.93339727939826e-15
4.56895995429606,3.77319829374851e-14
4.3807907698669,1.52175183904573e-13
4.20037119198342,5.86039194606461e-13
4.02738205891998,2.15510101311672e-12
3.86151735338693,7.56796275150804e-12
3.70248366118688,2.5379115072426e-11
3.54999965216581,8.1279371888602e-11
3.40379558254078,2.48608845124474e-10
3.26361281772403,7.2630419608444e-10
3.129203374799,2.0268847089409e-09
3.00032948383936,5.40384420020054e-09
2.87676316729462,1.37660663451919e-08
2.75828583669848,3.35150135638464e-08
2.64468790598647,7.8001847782501e-08
2.5357684207388,1.73600120225922e-07
2.43133470269254,3.69620384167806e-07
2.33120200889429,7.53267939118146e-07
2.23519320489049,1.47032320622832e-06
2.14313845137697,2.75101602947289e-06
2.0548749037538,4.93869858095865e-06
1.97024642405357,8.51679506220662e-06
1.88910330473382,1.41278820881036e-05
1.81130200384477,2.25784618749555e-05
1.73670489110407,3.48243830798383e-05
1.66518000442917,5.19343341320192e-05
