freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.101E-01	4.221E-01	
7.943E+02	1.104E-01	3.348E-01	
6.310E+02	1.106E-01	2.653E-01	
5.012E+02	1.109E-01	2.104E-01	
3.981E+02	1.112E-01	1.667E-01	
3.162E+02	1.115E-01	1.320E-01	
2.512E+02	1.118E-01	1.045E-01	
1.995E+02	1.121E-01	8.264E-02	
1.585E+02	1.124E-01	6.532E-02	
1.259E+02	1.127E-01	5.157E-02	
1.000E+02	1.129E-01	4.064E-02	
7.943E+01	1.134E-01	3.260E-02	
6.310E+01	1.136E-01	2.567E-02	
5.200E+01	1.138E-01	2.096E-02	
3.981E+01	1.140E-01	1.582E-02	
3.162E+01	1.142E-01	1.239E-02	
2.512E+01	1.143E-01	9.704E-03	
1.995E+01	1.145E-01	7.608E-03	
1.585E+01	1.146E-01	5.887E-03	
1.259E+01	1.147E-01	4.642E-03	
1.000E+01	1.148E-01	3.593E-03	
7.943E+00	1.148E-01	2.786E-03	
6.310E+00	1.148E-01	2.084E-03	
5.012E+00	1.150E-01	1.657E-03	
3.981E+00	1.150E-01	1.125E-03	
3.162E+00	1.150E-01	8.956E-04	
2.512E+00	1.151E-01	5.794E-04	
1.995E+00	1.151E-01	3.317E-04	
1.585E+00	1.152E-01	9.048E-05	
1.259E+00	1.152E-01	-3.146E-05	
1.000E+00	1.153E-01	-2.993E-04	
7.943E-01	1.153E-01	-3.847E-04	
6.310E-01	1.154E-01	-6.220E-04	
5.012E-01	1.127E-01	-1.489E-04	
3.981E-01	1.129E-01	-4.716E-04	
3.162E-01	1.131E-01	-7.305E-04	
2.512E-01	1.132E-01	-1.086E-03	
1.995E-01	1.133E-01	-1.349E-03	
1.585E-01	1.135E-01	-1.647E-03	
1.259E-01	1.137E-01	-1.971E-03	
1.000E-01	1.140E-01	-2.407E-03	
7.943E-02	4.354E-01	-5.681E-02	
6.310E-02	1.018E-01	-3.252E-03	
5.012E-02	1.059E-01	-3.522E-03	
3.981E-02	5.222E-01	1.082E-02	
3.162E-02	1.049E-01	-3.017E-03	
2.512E-02	1.044E-01	-6.458E-03	
1.995E-02	1.050E-01	-6.510E-03	
1.585E-02	1.067E-01	-6.994E-03	
1.259E-02	1.082E-01	-8.200E-03	
1.000E-02	1.099E-01	-9.731E-03	
