freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	9.869E-02	4.220E-01	
7.943E+02	9.896E-02	3.347E-01	
6.310E+02	9.923E-02	2.653E-01	
5.012E+02	9.955E-02	2.102E-01	
3.981E+02	9.985E-02	1.666E-01	
3.162E+02	1.002E-01	1.319E-01	
2.512E+02	1.005E-01	1.044E-01	
1.995E+02	1.008E-01	8.252E-02	
1.585E+02	1.011E-01	6.520E-02	
1.259E+02	1.014E-01	5.146E-02	
1.000E+02	1.017E-01	4.057E-02	
7.943E+01	1.022E-01	3.246E-02	
6.310E+01	1.024E-01	2.551E-02	
5.200E+01	1.026E-01	2.087E-02	
3.981E+01	1.028E-01	1.575E-02	
3.162E+01	1.030E-01	1.233E-02	
2.512E+01	1.032E-01	9.705E-03	
1.995E+01	1.033E-01	7.567E-03	
1.585E+01	1.034E-01	5.940E-03	
1.259E+01	1.035E-01	4.657E-03	
1.000E+01	1.036E-01	3.606E-03	
7.943E+00	1.036E-01	2.770E-03	
6.310E+00	1.037E-01	2.102E-03	
5.012E+00	1.037E-01	1.655E-03	
3.981E+00	1.037E-01	1.194E-03	
3.162E+00	1.038E-01	8.234E-04	
2.512E+00	1.039E-01	4.775E-04	
1.995E+00	1.039E-01	3.065E-04	
1.585E+00	1.039E-01	1.128E-04	
1.259E+00	1.040E-01	-1.464E-04	
1.000E+00	1.041E-01	-3.736E-04	
7.943E-01	1.041E-01	-5.188E-04	
6.310E-01	1.042E-01	-6.852E-04	
5.012E-01	1.038E-01	-2.313E-04	
3.981E-01	1.040E-01	-6.044E-04	
3.162E-01	1.041E-01	-9.931E-04	
2.512E-01	1.042E-01	-1.346E-03	
1.995E-01	1.044E-01	-1.629E-03	
1.585E-01	1.046E-01	-2.041E-03	
1.259E-01	1.048E-01	-2.462E-03	
1.000E-01	1.051E-01	-2.968E-03	
7.943E-02	1.055E-01	-3.396E-03	
6.310E-02	1.058E-01	-4.015E-03	
5.012E-02	1.061E-01	-4.723E-03	
3.981E-02	1.067E-01	-5.279E-03	
3.162E-02	1.071E-01	-6.281E-03	
2.512E-02	1.080E-01	-7.352E-03	
1.995E-02	1.086E-01	-8.842E-03	
1.585E-02	1.094E-01	-1.030E-02	
1.259E-02	1.106E-01	-1.176E-02	
1.000E-02	1.122E-01	-1.380E-02	
