freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.029E-01	4.220E-01	
7.943E+02	1.032E-01	3.347E-01	
6.310E+02	1.034E-01	2.653E-01	
5.012E+02	1.037E-01	2.103E-01	
3.981E+02	1.040E-01	1.666E-01	
3.162E+02	1.044E-01	1.320E-01	
2.512E+02	1.047E-01	1.044E-01	
1.995E+02	1.050E-01	8.258E-02	
1.585E+02	1.053E-01	6.523E-02	
1.259E+02	1.056E-01	5.148E-02	
1.000E+02	1.058E-01	4.058E-02	
7.943E+01	1.063E-01	3.251E-02	
6.310E+01	1.065E-01	2.558E-02	
5.200E+01	1.067E-01	2.087E-02	
3.981E+01	1.070E-01	1.578E-02	
3.162E+01	1.071E-01	1.236E-02	
2.512E+01	1.073E-01	9.649E-03	
1.995E+01	1.075E-01	7.588E-03	
1.585E+01	1.075E-01	5.933E-03	
1.259E+01	1.077E-01	4.619E-03	
1.000E+01	1.077E-01	3.543E-03	
7.943E+00	1.078E-01	2.830E-03	
6.310E+00	1.078E-01	2.142E-03	
5.012E+00	1.080E-01	1.582E-03	
3.981E+00	1.080E-01	1.227E-03	
3.162E+00	1.081E-01	8.336E-04	
2.512E+00	1.081E-01	5.074E-04	
1.995E+00	1.079E-01	2.744E-04	
1.585E+00	1.081E-01	1.999E-04	
1.259E+00	1.082E-01	-8.092E-05	
1.000E+00	1.082E-01	-2.071E-04	
7.943E-01	1.083E-01	-5.176E-04	
6.310E-01	1.084E-01	-6.836E-04	
5.012E-01	1.076E-01	-2.177E-04	
3.981E-01	1.077E-01	-5.104E-04	
3.162E-01	1.077E-01	-8.016E-04	
2.512E-01	1.079E-01	-1.104E-03	
1.995E-01	1.080E-01	-1.415E-03	
1.585E-01	1.083E-01	-1.752E-03	
1.259E-01	1.084E-01	-2.116E-03	
1.000E-01	1.088E-01	-2.559E-03	
7.943E-02	1.091E-01	-2.930E-03	
6.310E-02	1.093E-01	-3.387E-03	
5.012E-02	1.096E-01	-3.939E-03	
3.981E-02	1.101E-01	-4.484E-03	
3.162E-02	1.106E-01	-5.297E-03	
2.512E-02	1.113E-01	-6.130E-03	
1.995E-02	1.119E-01	-7.219E-03	
1.585E-02	1.126E-01	-8.262E-03	
1.259E-02	1.139E-01	-9.525E-03	
1.000E-02	1.151E-01	-1.087E-02	
