freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.018E-01	4.220E-01	
7.943E+02	1.021E-01	3.347E-01	
6.310E+02	1.023E-01	2.653E-01	
5.012E+02	1.026E-01	2.103E-01	
3.981E+02	1.029E-01	1.666E-01	
3.162E+02	1.033E-01	1.320E-01	
2.512E+02	1.036E-01	1.044E-01	
1.995E+02	1.039E-01	8.259E-02	
1.585E+02	1.042E-01	6.526E-02	
1.259E+02	1.045E-01	5.151E-02	
1.000E+02	1.048E-01	4.063E-02	
7.943E+01	1.052E-01	3.254E-02	
6.310E+01	1.054E-01	2.563E-02	
5.200E+01	1.056E-01	2.093E-02	
3.981E+01	1.058E-01	1.584E-02	
3.162E+01	1.060E-01	1.244E-02	
2.512E+01	1.062E-01	9.780E-03	
1.995E+01	1.063E-01	7.652E-03	
1.585E+01	1.064E-01	5.974E-03	
1.259E+01	1.064E-01	4.686E-03	
1.000E+01	1.065E-01	3.668E-03	
7.943E+00	1.066E-01	2.809E-03	
6.310E+00	1.066E-01	2.160E-03	
5.012E+00	1.067E-01	1.656E-03	
3.981E+00	1.067E-01	1.238E-03	
3.162E+00	1.067E-01	8.195E-04	
2.512E+00	1.068E-01	5.763E-04	
1.995E+00	1.068E-01	4.210E-04	
1.585E+00	1.069E-01	1.509E-04	
1.259E+00	1.070E-01	-1.797E-04	
1.000E+00	1.070E-01	-2.897E-04	
7.943E-01	1.070E-01	-4.593E-04	
6.310E-01	1.071E-01	-6.231E-04	
5.012E-01	1.065E-01	-2.361E-04	
3.981E-01	1.067E-01	-4.974E-04	
3.162E-01	1.067E-01	-8.389E-04	
2.512E-01	1.069E-01	-1.133E-03	
1.995E-01	1.070E-01	-1.492E-03	
1.585E-01	1.073E-01	-1.772E-03	
1.259E-01	1.074E-01	-2.262E-03	
1.000E-01	1.077E-01	-2.605E-03	
7.943E-02	1.080E-01	-3.139E-03	
6.310E-02	1.083E-01	-3.604E-03	
5.012E-02	1.087E-01	-4.302E-03	
3.981E-02	1.091E-01	-4.990E-03	
3.162E-02	1.095E-01	-5.661E-03	
2.512E-02	1.101E-01	-6.805E-03	
1.995E-02	1.109E-01	-7.761E-03	
1.585E-02	1.119E-01	-9.388E-03	
1.259E-02	1.127E-01	-1.101E-02	
1.000E-02	5.711E-01	-6.224E-02	
