frequency,gamma
31.6227766016838,3.59581533600553e-74
30.3204162960459,1.21675530845579e-72
29.0716927215232,3.93119535596337e-71
27.874396889626,1.21272270802944e-69
26.7264107873963,3.57202015513842e-68
25.6257036306496,1.00457368894039e-66
24.5703282715225,2.69752330559661e-65
23.5584177539742,6.91614547687692e-64
22.5881820111464,1.6930841441289e-62
21.6579046987401,3.9573865566983e-61
20.765940158807,8.83189536688944e-60
19.9107105085857,1.88197940566721e-58
19.0907028492315,3.82905257447518e-57
18.3044665895021,7.43846467412677e-56
17.5506108796662,1.37971947548695e-54
16.8278021510944,2.44350820114443e-53
16.1347617571795,4.13192401855979e-52
15.4702637114147,6.67123709218051e-51
14.8331325186268,1.02843287771401e-49
14.2222410955284,1.51377407205565e-48
13.6365087769109,2.12746152319725e-47
13.0748994039507,2.85481465706074e-46
12.5364194912473,3.65771350638041e-45
12.0201164693502,4.47462902539364e-44
11.5250769996664,5.2266087084125e-43
11.050425358767,5.82906060496536e-42
10.5953218892346,6.20715828764734e-41
10.1589615143123,6.31106689340825e-40
9.74057231372456,6.12672688204931e-39
9.33941415815277,5.67897702980217e-38
8.95477739994846,5.02605993731923e-37
8.58598161776862,4.24718636229683e-36
8.23237441291226,3.42681985022557e-35
7.89333025522893,2.63996286481419e-34
7.56824937655766,1.94187550328716e-33
7.25655670973875,1.36383762309318e-32
6.95770087132161,9.14582449290452e-32
6.67115318616897,5.85604147076261e-31
6.39640675223206,3.58022778900429e-30
6.13297554384229,2.09002099246747e-29
5.88039355193324,1.16504017346358e-28
5.63821395967191,6.20177831377017e-28
5.40600835204101,3.15318648045697e-27
5.183365957974,1.53177546702777e-26
4.96989292370222,7.11505051580033e-26
4.7652116160287,3.16507902021431e-25
4.56895995429606,1.35285095511396e-24
4.3807907698669,5.59390356570692e-24
4.20037119198342,2.26750212723748e-23
4.02738205891998,9.22757589077637e-23
3.86151735338693,3.90700410146955e-22
3.70248366118688,1.78748784006206e-21
3.54999965216581,8.98759294651639e-21
3.40379558254078,4.87900395783517e-20
3.26361281772403,2.75289757774516e-19
3.129203374799,1.55817848503548e-18
3.00032948383936,8.64186233577851e-18
2.87676316729462,4.63538514424294e-17
2.75828583669848,2.38871838801264e-16
2.64468790598647,1.17879376802807e-15
2.5357684207388,5.56203166720392e-15
2.43133470269254,2.50746855107252e-14
2.33120200889429,1.07968311325397e-13
2.23519320489049,4.4396450814783e-13
2.14313845137697,1.74325868359461e-12
2.0548749037538,6.53621285443454e-12
1.97024642405357,2.34013033076712e-11
1.88910330473382,8.00032813757198e-11
1.81130200384477,2.61178802983143e-10
1.73670489110407,8.1422169738617e-10
1.66518000442917,2.42403237631276e-09
1.59660081649679,6.89201994944616e-09
1.53084601091644,1.87152052349073e-08
1.46779926762207,4.85420503266499e-08
1.40734905710218,1.20271479371532e-07
1.34938844310444,2.84699421561536e-07
1.29381489346579,6.4396844462983e-07
1.24053009873327,1.39216905259954e-06
1.18943979825494,2.87733276329707e-06
1.14045361343299,5.68738836458907e-06
1.09348488784432,1.07561004434848e-05
1.0484505339455,1.94742325539911e-05
1.00527088609122,3.37780298021059e-05
0.963869559605896,5.61763997904104e-05
0.924173315659482,8.96768918673213e-05
0.886111931708126,0.000137584998629191
0.849618077270709,0.000203182442354422
0.814627194821417,0.000289330074409931
0.781077385587648,0.000398073643929286
0.748909300051269,0.000530338355918469
0.718066032959476,0.000685772537088175
0.688493022659568,0.000862750997419421
0.660137954579533,0.00105849946632398
0.632950668683721,0.00126927918972789
0.606883070739878,0.00149058551480924
0.581889047240589,0.001717351084999
0.557924383828609,0.00194417250899977
0.534946687081791,0.00216557582341579
0.512915309519243,0.00237630397624424
0.491791277696045,0.00257157694245037
0.47153722325934,0.00274727172233154
0.452117316843817,0.0029000011620682
0.43349720468967,0.00302711349541653
0.415643947870888,0.00312665595531465
0.398525964026394,0.00319733274078546
0.382112971490931,0.00323845747153006
0.366375935726885,0.00324988352257865
0.351287017962269,0.00323190717841905
0.336819525944013,0.00318516498490946
0.322947866719443,0.00311056120153876
0.309647501362422,0.00300925030981625
0.296894901564057,0.00288267450266114
0.284667508011187,0.00273263926763352
0.272943690479019,0.00256141077880197
0.261702709567328,0.00237182434440923
0.25092468001251,0.0021673851005528
0.240590535510607,0.0019523190550297
0.230681994989074,0.0017315159488073
0.221181530267607,0.00151032081345032
0.212072335050845,0.00129418234889868
0.203338295198081,0.0010882272703311
0.19496396021739,0.0008968629148182
0.186934515933754,0.000723495226818508
0.179235758282827,0.000570397465766832
0.171854068183988,0.000438710121576609
0.16477638744822,0.000328524618918915
0.157990195678218,0.000239009597923978
0.151483488119834,0.000168562994585269
0.145244754425705,0.000114992564806482
0.13926295829348,7.57285364769193e-05
0.133527517942632,4.80577888047858e-05
0.128028287395319,2.93528631358018e-05
0.122755538528176,1.72639693466851e-05
0.117699943863291,9.85226210700932e-06
0.112852560067929,5.66345995313723e-06
0.108204812133794,3.76376426677865e-06
0.103748478207868,3.77760539629503e-06
0.0994756750479753,5.97501171807447e-06
0.0953788440773477,1.14536304718657e-05
0.0914507380135256,2.24447801022435e-05
0.0876844080479348,4.27416600869311e-05
0.0840731915534634,7.81999222846628e-05
0.0806107002982935,0.000137202049336854
0.0772908091451371,0.000230924786103315
0.0741076452158855,0.000373231272031637
0.0710555775025043,0.000580054773202542
0.0681292069057962,0.000868258824837812
0.0653233566844093,0.00125412308788317
0.0626330632971971,0.00175175180949351
0.060053567622727,0.00237175632202533
0.0575803065404091,0.00312048050798317
0.0552089048583474,0.00399984499355103
0.0529351675736391,0.00500767769127418
0.050755072451425,0.0061382873976679
0.048664762909568,0.00738307578428252
0.0466605411963701,0.00873112072638079
0.04473886184926,0.0101697800724415
0.0428963254228795,0.0116853631029552
0.0411296724754749,0.013263805539532
0.0394357778029528,0.014891171636962
0.0378116449104039,0.016553807833925
0.0362544007113109,0.0182381036374624
0.0347612904450673,0.0199299823345741
0.0333296728038133,0.0216143318302827
0.0319570152599696,0.023274566846633
0.0306408895862034,0.0248924607636754
0.029378967559901,0.0264483738334913
0.0281690168445485,0.0279220088890672
0.027008897040735,0.0292937344745484
0.0258965558997916,0.0305462657438778
0.0248300256933699,0.0316661886383226
0.0238074197325356,0.0326446801805836
0.0228269290302212,0.0334769815351748
0.0218868191011333,0.0341606612555546
0.0209854268934523,0.0346932088399677
0.0201211578468992,0.0350697702480807
0.0192924830719625,0.0352818034252904
0.0184979366452968,0.0353171918203704
0.017736113016509,0.0351620225822811
0.0170056645217434,0.0348038306632213
0.016305298999668,0.0342356101114517
0.0156337775056448,0.0334594006749639
0.0149899121200403,0.0324880433729144
0.0143725638467992,0.0313440383113982
0.0137806405985629,0.0300553549860811
0.013213095264771,0.028649210845198
0.0126689238593248,0.0271457358122526
0.0121471637445392,0.0255536864472556
0.0116468919282393,0.023869883126246
0.0111672234309895,0.0220830113965353
0.0107073097205681,0.0201811577825434
0.0102663372109151,0.0181612420199233
0.00984352582290193,0.0160376666362455
0.00943812760437273,0.0138473519954709
0.00904942540701965,0.011649088862034
0.00867673161774923,0.00951675135472897
0.00831938694229691,0.00752788465696981
0.00797675923893727,0.00575075026369271
0.00764824240022713,0.00423340435752623
0.00733325528080315,0.00299759214563302
0.00703124066933735,0.00203853641833936
0.00674166430283181,0.00132983041137751
0.00646401392150898,0.000831340141960427
0.00619779836262552,0.000497651312008582
0.00594254669160682,0.00028507898517068
0.00569780736896503,0.000156201638078791
0.00546314745152704,8.18311282238165e-05
0.00523815182655916,4.09762798047327e-05
0.00502242247743388,1.96076086985682e-05
0.0048155777795396,8.96426060970102e-06
0.00461725182518776,3.91506848002943e-06
