freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	8.723E-02	4.226E-01	
7.943E+02	8.708E-02	3.357E-01	
6.310E+02	8.721E-02	2.663E-01	
5.012E+02	8.717E-02	2.114E-01	
3.981E+02	8.755E-02	1.676E-01	
3.162E+02	8.763E-02	1.331E-01	
2.512E+02	8.772E-02	1.054E-01	
1.995E+02	8.790E-02	8.349E-02	
1.585E+02	8.794E-02	6.624E-02	
1.259E+02	8.812E-02	5.240E-02	
1.000E+02	8.826E-02	4.145E-02	
7.943E+01	8.838E-02	3.276E-02	
6.310E+01	8.850E-02	2.578E-02	
5.200E+01	8.872E-02	2.120E-02	
3.981E+01	8.861E-02	1.598E-02	
3.162E+01	8.902E-02	1.252E-02	
2.512E+01	8.925E-02	9.871E-03	
1.995E+01	8.926E-02	7.670E-03	
1.585E+01	8.935E-02	5.827E-03	
1.259E+01	8.938E-02	4.340E-03	
1.000E+01	8.946E-02	3.428E-03	
7.943E+00	8.959E-02	2.609E-03	
6.310E+00	8.955E-02	1.614E-03	
5.012E+00	8.974E-02	1.229E-03	
3.981E+00	9.013E-02	4.812E-04	
3.162E+00	8.999E-02	-4.558E-05	
2.512E+00	9.027E-02	2.148E-04	
1.995E+00	9.034E-02	-3.198E-04	
1.585E+00	9.005E-02	-8.212E-04	
1.259E+00	9.052E-02	-1.143E-03	
1.000E+00	9.107E-02	-1.143E-03	
7.943E-01	9.054E-02	-1.167E-03	
6.310E-01	9.118E-02	-2.165E-03	
5.012E-01	9.108E-02	-2.381E-03	
3.981E-01	9.096E-02	-2.458E-03	
3.162E-01	9.179E-02	-3.468E-03	
2.512E-01	9.294E-02	-2.739E-03	
1.995E-01	9.154E-02	-3.598E-03	
1.585E-01	9.367E-02	-5.450E-03	
1.259E-01	9.368E-02	-3.678E-03	
1.000E-01	9.440E-02	-7.244E-03	
7.943E-02	9.309E-02	-5.621E-03	
6.310E-02	9.673E-02	-8.215E-03	
5.012E-02	9.505E-02	-1.156E-02	
3.981E-02	9.366E-02	-1.091E-02	
3.162E-02	9.730E-02	-1.109E-02	
2.512E-02	1.005E-01	-1.543E-02	
1.995E-02	1.013E-01	-2.227E-02	
1.585E-02	9.929E-02	-2.720E-02	
1.259E-02	9.875E-02	-3.015E-02	
1.000E-02	1.007E-01	-3.285E-02	
