freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.268E-01	4.221E-01	
7.943E+02	1.270E-01	3.348E-01	
6.310E+02	1.273E-01	2.653E-01	
5.012E+02	1.275E-01	2.104E-01	
3.981E+02	1.278E-01	1.667E-01	
3.162E+02	1.281E-01	1.321E-01	
2.512E+02	1.284E-01	1.045E-01	
1.995E+02	1.287E-01	8.266E-02	
1.585E+02	1.290E-01	6.530E-02	
1.259E+02	1.292E-01	5.153E-02	
1.000E+02	1.295E-01	4.061E-02	
7.943E+01	1.300E-01	3.254E-02	
6.310E+01	1.302E-01	2.560E-02	
5.200E+01	1.303E-01	2.086E-02	
3.981E+01	1.306E-01	1.565E-02	
3.162E+01	1.308E-01	1.226E-02	
2.512E+01	1.310E-01	9.561E-03	
1.995E+01	1.311E-01	7.331E-03	
1.585E+01	1.313E-01	5.655E-03	
1.259E+01	1.315E-01	4.339E-03	
1.000E+01	1.317E-01	3.351E-03	
7.943E+00	1.317E-01	2.534E-03	
6.310E+00	1.318E-01	1.898E-03	
5.012E+00	1.320E-01	1.417E-03	
3.981E+00	1.320E-01	9.872E-04	
3.162E+00	1.321E-01	6.507E-04	
2.512E+00	1.321E-01	4.648E-04	
1.995E+00	1.322E-01	2.187E-04	
1.585E+00	1.324E-01	1.042E-05	
1.259E+00	1.323E-01	-1.806E-04	
1.000E+00	1.323E-01	-4.254E-04	
7.943E-01	1.325E-01	-5.876E-04	
6.310E-01	1.326E-01	-8.108E-04	
5.012E-01	1.298E-01	-3.201E-04	
3.981E-01	1.299E-01	-5.410E-04	
3.162E-01	1.301E-01	-8.029E-04	
2.512E-01	1.303E-01	-1.179E-03	
1.995E-01	1.304E-01	-1.480E-03	
1.585E-01	1.305E-01	-1.719E-03	
1.259E-01	1.309E-01	-2.156E-03	
1.000E-01	1.312E-01	-2.641E-03	
7.943E-02	1.314E-01	-3.094E-03	
6.310E-02	1.316E-01	-3.576E-03	
5.012E-02	1.320E-01	-4.247E-03	
3.981E-02	1.326E-01	-4.932E-03	
3.162E-02	1.329E-01	-5.787E-03	
2.512E-02	1.337E-01	-6.628E-03	
1.995E-02	1.344E-01	-7.840E-03	
1.585E-02	1.352E-01	-9.203E-03	
1.259E-02	1.364E-01	-1.055E-02	
1.000E-02	1.378E-01	-1.232E-02	
