freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	8.505E-02	1.069E+00	
7.943E+02	8.525E-02	8.483E-01	
6.310E+02	8.541E-02	6.735E-01	
5.012E+02	8.566E-02	5.346E-01	
3.981E+02	8.590E-02	4.243E-01	
3.162E+02	8.618E-02	3.367E-01	
2.512E+02	8.645E-02	2.671E-01	
1.995E+02	8.672E-02	2.119E-01	
1.585E+02	8.698E-02	1.680E-01	
1.259E+02	8.722E-02	1.332E-01	
1.000E+02	8.749E-02	1.055E-01	
7.943E+01	8.784E-02	8.429E-02	
6.310E+01	8.804E-02	6.679E-02	
5.200E+01	8.819E-02	5.489E-02	
3.981E+01	8.831E-02	4.186E-02	
3.162E+01	8.850E-02	3.313E-02	
2.512E+01	8.860E-02	2.627E-02	
1.995E+01	8.867E-02	2.074E-02	
1.585E+01	8.874E-02	1.641E-02	
1.259E+01	8.887E-02	1.294E-02	
1.000E+01	8.887E-02	1.026E-02	
7.943E+00	8.890E-02	8.036E-03	
6.310E+00	8.896E-02	6.280E-03	
5.012E+00	8.902E-02	4.940E-03	
3.981E+00	8.909E-02	3.837E-03	
3.162E+00	8.904E-02	2.920E-03	
2.512E+00	8.912E-02	2.224E-03	
1.995E+00	8.914E-02	1.632E-03	
1.585E+00	8.920E-02	1.140E-03	
1.259E+00	8.925E-02	7.161E-04	
1.000E+00	8.930E-02	3.827E-04	
7.943E-01	8.938E-02	6.082E-06	
6.310E-01	8.942E-02	-2.825E-04	
5.012E-01	8.947E-02	-9.097E-05	
3.981E-01	8.975E-02	-5.063E-04	
3.162E-01	8.990E-02	-8.511E-04	
2.512E-01	8.992E-02	-1.200E-03	
1.995E-01	9.018E-02	-1.558E-03	
1.585E-01	9.035E-02	-1.886E-03	
1.259E-01	9.066E-02	-2.243E-03	
1.000E-01	9.086E-02	-2.668E-03	
7.943E-02	9.119E-02	-2.979E-03	
6.310E-02	9.151E-02	-3.489E-03	
5.012E-02	9.192E-02	-4.053E-03	
3.981E-02	9.236E-02	-4.945E-03	
3.162E-02	9.276E-02	-5.477E-03	
2.512E-02	9.341E-02	-6.364E-03	
1.995E-02	9.410E-02	-7.399E-03	
1.585E-02	9.543E-02	-8.493E-03	
1.259E-02	9.614E-02	-1.001E-02	
1.000E-02	9.726E-02	-1.147E-02	
