freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	8.492E-02	1.069E+00	
7.943E+02	8.512E-02	8.484E-01	
6.310E+02	8.525E-02	6.736E-01	
5.012E+02	8.550E-02	5.347E-01	
3.981E+02	8.575E-02	4.244E-01	
3.162E+02	8.599E-02	3.368E-01	
2.512E+02	8.626E-02	2.672E-01	
1.995E+02	8.650E-02	2.120E-01	
1.585E+02	8.676E-02	1.681E-01	
1.259E+02	8.700E-02	1.333E-01	
1.000E+02	8.721E-02	1.056E-01	
7.943E+01	8.756E-02	8.439E-02	
6.310E+01	8.772E-02	6.690E-02	
5.200E+01	8.787E-02	5.501E-02	
3.981E+01	8.803E-02	4.194E-02	
3.162E+01	8.813E-02	3.325E-02	
2.512E+01	8.819E-02	2.632E-02	
1.995E+01	8.830E-02	2.087E-02	
1.585E+01	8.836E-02	1.650E-02	
1.259E+01	8.840E-02	1.308E-02	
1.000E+01	8.849E-02	1.032E-02	
7.943E+00	8.849E-02	8.104E-03	
6.310E+00	8.854E-02	6.351E-03	
5.012E+00	8.862E-02	4.939E-03	
3.981E+00	8.856E-02	3.910E-03	
3.162E+00	8.865E-02	2.991E-03	
2.512E+00	8.865E-02	2.220E-03	
1.995E+00	8.865E-02	1.791E-03	
1.585E+00	8.872E-02	1.251E-03	
1.259E+00	8.883E-02	7.956E-04	
1.000E+00	8.883E-02	4.298E-04	
7.943E-01	8.893E-02	6.514E-05	
6.310E-01	8.901E-02	-4.885E-05	
5.012E-01	8.915E-02	-5.752E-05	
3.981E-01	8.926E-02	-3.687E-04	
3.162E-01	8.923E-02	-5.993E-04	
2.512E-01	8.948E-02	-9.699E-04	
1.995E-01	8.967E-02	-1.163E-03	
1.585E-01	8.982E-02	-1.441E-03	
1.259E-01	9.015E-02	-1.782E-03	
1.000E-01	9.031E-02	-2.059E-03	
7.943E-02	9.048E-02	-2.358E-03	
6.310E-02	9.077E-02	-2.748E-03	
5.012E-02	9.120E-02	-3.193E-03	
3.981E-02	9.128E-02	-3.772E-03	
3.162E-02	9.172E-02	-4.204E-03	
2.512E-02	9.232E-02	-4.878E-03	
1.995E-02	9.301E-02	-5.699E-03	
1.585E-02	9.365E-02	-6.692E-03	
1.259E-02	9.440E-02	-7.554E-03	
1.000E-02	9.546E-02	-8.273E-03	
