time /s	I /mA	E /V
0.200	209.669	4.139
0.400	209.937	4.139
0.600	209.954	4.139
0.800	209.960	4.139
1.000	209.962	4.139
1.200	209.965	4.139
1.400	209.967	4.139
1.600	209.969	4.140
1.800	209.968	4.140
2.000	209.969	4.140
2.200	209.970	4.140
2.400	209.971	4.140
2.600	209.970	4.140
2.800	209.970	4.140
3.000	209.970	4.140
3.200	209.970	4.140
3.400	209.970	4.140
3.600	209.974	4.140
3.800	209.972	4.140
4.000	209.973	4.140
4.200	209.974	4.140
4.400	209.974	4.140
4.600	209.973	4.140
4.800	209.973	4.140
5.000	209.973	4.140
5.200	209.973	4.140
5.400	209.974	4.140
5.600	209.974	4.140
5.800	209.975	4.140
6.000	209.975	4.140
6.200	209.974	4.140
6.400	209.977	4.140
6.600	209.974	4.140
6.800	209.973	4.140
7.000	209.972	4.140
7.200	209.974	4.140
7.400	209.975	4.140
7.600	209.976	4.140
7.800	209.975	4.140
8.000	209.976	4.140
8.200	209.977	4.140
8.400	209.975	4.140
8.600	209.977	4.140
8.800	209.977	4.140
9.000	209.977	4.140
9.200	209.977	4.140
9.400	209.977	4.141
9.600	209.975	4.140
9.800	209.975	4.141
10.000	209.976	4.141
10.200	209.976	4.141
10.400	209.975	4.141
10.600	209.976	4.141
10.800	209.974	4.141
11.000	209.976	4.141
11.200	209.976	4.141
11.400	209.977	4.141
11.600	209.976	4.141
11.800	209.976	4.141
12.000	209.978	4.141
12.200	209.976	4.141
12.400	209.978	4.141
12.600	209.975	4.141
12.800	209.976	4.141
13.000	209.975	4.141
13.200	209.975	4.141
13.400	209.974	4.141
13.600	209.976	4.141
13.800	209.975	4.141
14.000	209.975	4.141
14.200	209.975	4.141
14.400	209.974	4.141
14.600	209.975	4.141
14.800	209.976	4.141
15.000	209.975	4.141
15.200	209.975	4.141
15.400	209.975	4.141
15.600	209.974	4.141
15.800	209.975	4.141
16.000	209.974	4.141
16.200	209.974	4.141
16.400	209.976	4.141
16.600	209.974	4.141
16.800	209.975	4.141
17.000	209.975	4.141
17.200	209.974	4.141
17.400	209.975	4.141
17.600	209.975	4.141
17.800	209.975	4.141
18.000	209.974	4.141
18.200	209.974	4.141
18.400	209.976	4.141
18.600	209.974	4.141
18.800	209.974	4.141
19.000	209.976	4.141
19.200	209.975	4.141
19.400	209.976	4.141
19.600	209.976	4.141
19.800	209.974	4.141
20.000	209.975	4.141
20.200	209.975	4.141
20.400	209.974	4.141
20.600	209.975	4.141
20.800	209.975	4.141
21.000	209.977	4.141
21.200	209.976	4.141
21.400	209.974	4.141
21.600	209.976	4.141
21.800	209.975	4.141
22.000	209.977	4.141
22.200	209.977	4.141
22.400	209.977	4.141
22.600	209.974	4.141
22.800	209.975	4.141
23.000	209.975	4.141
23.200	209.974	4.141
23.400	209.975	4.141
23.600	209.977	4.141
23.800	209.975	4.142
24.000	209.975	4.141
24.200	209.977	4.142
24.400	209.977	4.142
24.600	209.975	4.142
24.800	209.976	4.142
25.000	209.976	4.142
25.200	209.976	4.142
25.400	209.978	4.142
25.600	209.976	4.142
25.800	209.975	4.142
26.000	209.975	4.142
26.200	209.977	4.142
26.400	209.978	4.142
26.600	209.976	4.142
26.800	209.976	4.142
27.000	209.977	4.142
27.200	209.977	4.142
27.400	209.976	4.142
27.600	209.977	4.142
27.800	209.976	4.142
28.000	209.976	4.142
28.200	209.977	4.142
28.400	209.976	4.142
28.600	209.975	4.142
28.800	209.977	4.142
29.000	209.977	4.142
29.200	209.977	4.142
29.400	209.978	4.142
29.600	209.977	4.142
29.800	209.978	4.142
30.000	209.978	4.142
30.200	209.976	4.142
30.400	209.978	4.142
30.600	209.977	4.142
30.800	209.976	4.142
31.000	209.976	4.142
31.200	209.978	4.142
31.400	209.976	4.142
31.600	209.975	4.142
31.800	209.975	4.142
32.000	209.974	4.142
32.200	209.978	4.142
32.400	209.977	4.142
32.600	209.977	4.142
32.800	209.978	4.142
33.000	209.977	4.142
33.200	209.976	4.142
33.400	209.978	4.142
33.600	209.976	4.142
33.800	209.977	4.142
34.000	209.976	4.142
34.200	209.976	4.142
34.400	209.977	4.142
34.600	209.979	4.142
34.800	209.976	4.142
35.000	209.976	4.142
35.200	209.977	4.142
35.400	209.976	4.142
35.600	209.977	4.142
35.800	209.977	4.142
36.000	209.977	4.142
36.200	209.976	4.142
36.400	209.978	4.142
36.600	209.978	4.142
36.800	209.978	4.142
37.000	209.978	4.142
37.200	209.977	4.142
37.400	209.978	4.142
37.600	209.977	4.142
37.800	209.977	4.142
38.000	209.976	4.142
38.200	209.976	4.142
38.400	209.977	4.142
38.600	209.976	4.142
38.800	209.975	4.142
39.000	209.975	4.142
39.200	209.974	4.142
39.400	209.975	4.142
39.600	209.977	4.142
39.800	209.976	4.142
40.000	209.975	4.142
40.200	209.977	4.142
40.400	209.975	4.142
40.600	209.975	4.142
40.800	209.974	4.142
41.000	209.976	4.142
41.200	209.974	4.142
41.400	209.975	4.142
41.600	209.975	4.142
41.800	209.975	4.142
42.000	209.976	4.142
42.200	209.974	4.142
42.400	209.976	4.142
42.600	209.976	4.142
42.800	209.978	4.143
43.000	209.975	4.143
43.200	209.976	4.143
43.400	209.975	4.143
43.600	209.976	4.143
43.800	209.975	4.143
44.000	209.975	4.143
44.200	209.975	4.143
44.400	209.975	4.143
44.600	209.974	4.143
44.800	209.973	4.143
45.000	209.975	4.143
45.200	209.975	4.143
45.400	209.976	4.143
45.600	209.975	4.143
45.800	209.975	4.143
46.000	209.975	4.143
46.200	209.975	4.143
46.400	209.972	4.143
46.600	209.975	4.143
46.800	209.977	4.143
47.000	209.974	4.143
47.200	209.975	4.143
47.400	209.973	4.143
47.600	209.974	4.143
47.800	209.973	4.143
48.000	209.975	4.143
48.200	209.974	4.143
48.400	209.973	4.143
48.600	209.973	4.143
48.800	209.974	4.143
49.000	209.976	4.143
49.200	209.976	4.143
49.400	209.975	4.143
49.600	209.974	4.143
49.800	209.975	4.143
50.000	209.976	4.143
50.200	209.975	4.143
50.400	209.974	4.143
50.600	209.975	4.143
50.800	209.974	4.143
51.000	209.976	4.143
51.200	209.974	4.143
51.400	209.974	4.143
51.600	209.975	4.143
51.800	209.974	4.143
52.000	209.975	4.143
52.200	209.975	4.143
52.400	209.974	4.143
52.600	209.974	4.143
52.800	209.975	4.143
53.000	209.975	4.143
53.200	209.977	4.143
53.400	209.976	4.143
53.600	209.975	4.143
53.800	209.975	4.143
54.000	209.975	4.143
54.200	209.976	4.143
54.400	209.975	4.143
54.600	209.974	4.143
54.800	209.973	4.143
55.000	209.974	4.143
55.200	209.975	4.143
55.400	209.974	4.143
55.600	209.975	4.143
55.800	209.972	4.143
56.000	209.972	4.143
56.200	209.974	4.143
56.400	209.975	4.143
56.600	209.975	4.143
56.800	209.973	4.143
57.000	209.973	4.143
57.200	209.973	4.143
57.400	209.973	4.143
57.600	209.972	4.143
57.800	209.974	4.143
58.000	209.973	4.143
58.200	209.976	4.143
58.400	209.975	4.143
58.600	209.973	4.143
58.800	209.976	4.143
59.000	209.973	4.143
59.200	209.975	4.143
59.400	209.975	4.143
59.600	209.973	4.143
59.800	209.974	4.143
60.000	209.972	4.143
60.200	209.974	4.143
60.400	209.973	4.143
60.600	209.975	4.143
60.800	209.974	4.143
61.000	209.974	4.143
61.200	209.974	4.143
61.400	209.976	4.143
61.600	209.975	4.143
61.800	209.975	4.143
62.000	209.976	4.143
62.200	209.974	4.143
62.400	209.976	4.143
62.600	209.975	4.143
62.800	209.974	4.143
63.000	209.974	4.143
63.200	209.975	4.143
63.400	209.973	4.143
63.600	209.974	4.143
63.800	209.974	4.143
64.000	209.974	4.143
64.200	209.974	4.143
64.400	209.973	4.143
64.600	209.975	4.143
64.800	209.974	4.143
65.000	209.976	4.144
65.200	209.974	4.144
65.400	209.976	4.144
65.600	209.974	4.143
65.800	209.977	4.144
66.000	209.975	4.144
66.200	209.974	4.144
66.400	209.976	4.144
66.600	209.974	4.144
66.800	209.976	4.144
67.000	209.975	4.144
67.200	209.976	4.144
67.400	209.976	4.144
67.600	209.975	4.144
67.800	209.973	4.144
68.000	209.977	4.144
68.200	209.976	4.144
68.400	209.975	4.144
68.600	209.975	4.144
68.800	209.973	4.144
69.000	209.975	4.144
69.200	209.976	4.144
69.400	209.973	4.144
69.600	209.974	4.144
69.800	209.974	4.144
70.000	209.976	4.144
70.200	209.975	4.144
70.400	209.976	4.144
70.600	209.975	4.144
70.800	209.975	4.144
71.000	209.975	4.144
71.200	209.979	4.144
71.400	209.977	4.144
71.600	209.976	4.144
71.800	209.975	4.144
72.000	209.975	4.144
72.200	209.975	4.144
72.400	209.973	4.144
72.600	209.974	4.144
72.800	209.974	4.144
73.000	209.974	4.144
73.200	209.974	4.144
73.400	209.974	4.144
73.600	209.975	4.144
73.800	209.974	4.144
74.000	209.976	4.144
74.200	209.976	4.144
74.400	209.976	4.144
74.600	209.975	4.144
74.800	209.975	4.144
75.000	209.976	4.144
75.200	209.975	4.144
75.400	209.974	4.144
75.600	209.975	4.144
75.800	209.973	4.144
76.000	209.977	4.144
76.200	209.973	4.144
76.400	209.975	4.144
76.600	209.976	4.144
76.800	209.974	4.144
77.000	209.973	4.144
77.200	209.974	4.144
77.400	209.976	4.144
77.600	209.973	4.144
77.800	209.974	4.144
78.000	209.973	4.144
78.200	209.973	4.144
78.400	209.975	4.144
78.600	209.973	4.144
78.800	209.974	4.144
79.000	209.974	4.144
79.200	209.974	4.144
79.400	209.974	4.144
79.600	209.975	4.144
79.800	209.976	4.144
80.000	209.974	4.144
80.200	209.975	4.144
80.400	209.974	4.144
80.600	209.976	4.144
80.800	209.974	4.144
81.000	209.976	4.144
81.200	209.975	4.144
81.400	209.975	4.144
81.600	209.975	4.144
81.800	209.974	4.144
82.000	209.977	4.144
82.200	209.977	4.144
82.400	209.976	4.144
82.600	209.976	4.144
82.800	209.975	4.144
83.000	209.975	4.144
83.200	209.974	4.144
83.400	209.976	4.144
83.600	209.973	4.144
83.800	209.973	4.144
84.000	209.975	4.144
84.200	209.973	4.144
84.400	209.974	4.144
84.600	209.975	4.144
84.800	209.974	4.144
85.000	209.973	4.144
85.200	209.974	4.144
85.400	209.973	4.144
85.600	209.974	4.144
85.800	209.976	4.144
86.000	209.972	4.144
86.200	209.972	4.144
86.400	209.975	4.144
86.600	209.972	4.144
86.800	209.971	4.144
87.000	209.972	4.144
87.200	209.973	4.144
87.400	209.972	4.144
87.600	209.973	4.144
87.800	209.972	4.144
88.000	209.971	4.144
88.200	209.971	4.144
88.400	209.972	4.144
88.600	209.971	4.144
88.800	209.971	4.144
89.000	209.972	4.144
89.200	209.972	4.144
89.400	209.972	4.144
89.600	209.970	4.144
89.800	209.974	4.144
90.000	209.973	4.144
90.200	209.972	4.144
90.400	209.970	4.144
90.600	209.974	4.144
90.800	209.973	4.144
91.000	209.974	4.144
91.200	209.975	4.144
91.400	209.973	4.144
91.600	209.974	4.144
91.800	209.973	4.144
92.000	209.972	4.144
92.200	209.974	4.145
92.400	209.972	4.145
92.600	209.973	4.144
92.800	209.971	4.144
93.000	209.973	4.145
93.200	209.974	4.145
93.400	209.975	4.145
93.600	209.972	4.145
93.800	209.972	4.145
94.000	209.975	4.145
94.200	209.973	4.145
94.400	209.973	4.145
94.600	209.974	4.145
94.800	209.974	4.145
95.000	209.972	4.145
95.200	209.974	4.145
95.400	209.974	4.145
95.600	209.974	4.145
95.800	209.974	4.145
96.000	209.973	4.145
96.200	209.974	4.145
96.400	209.973	4.145
96.600	209.974	4.145
96.800	209.975	4.145
97.000	209.974	4.145
97.200	209.974	4.145
97.400	209.974	4.145
97.600	209.976	4.145
97.800	209.974	4.145
98.000	209.973	4.145
98.200	209.975	4.145
98.400	209.974	4.145
98.600	209.974	4.145
98.800	209.974	4.145
99.000	209.973	4.145
99.200	209.976	4.145
99.400	209.975	4.145
99.600	209.973	4.145
99.800	209.974	4.145
100.000	209.975	4.145
100.200	209.974	4.145
100.400	209.973	4.145
100.600	209.975	4.145
100.800	209.974	4.145
101.000	209.974	4.145
101.200	209.976	4.145
101.400	209.976	4.145
101.600	209.974	4.145
101.800	209.975	4.145
102.000	209.975	4.145
102.200	209.974	4.145
102.400	209.975	4.145
102.600	209.974	4.145
102.800	209.975	4.145
103.000	209.975	4.145
103.200	209.973	4.145
103.400	209.974	4.145
103.600	209.973	4.145
103.800	209.974	4.145
104.000	209.973	4.145
104.200	209.973	4.145
104.400	209.974	4.145
104.600	209.974	4.145
104.800	209.975	4.145
105.000	209.975	4.145
105.200	209.974	4.145
105.400	209.973	4.145
105.600	209.974	4.145
105.800	209.975	4.145
106.000	209.976	4.145
106.200	209.975	4.145
106.400	209.975	4.145
106.600	209.975	4.145
106.800	209.975	4.145
107.000	209.975	4.145
107.200	209.975	4.145
107.400	209.975	4.145
107.600	209.975	4.145
107.800	209.975	4.145
108.000	209.975	4.145
108.200	209.975	4.145
108.400	209.974	4.145
108.600	209.975	4.145
108.800	209.974	4.145
109.000	209.976	4.145
109.200	209.975	4.145
109.400	209.974	4.145
109.600	209.975	4.145
109.800	209.975	4.145
110.000	209.974	4.145
110.200	209.974	4.145
110.400	209.974	4.145
110.600	209.975	4.145
110.800	209.974	4.145
111.000	209.974	4.145
111.200	209.974	4.145
111.400	209.973	4.145
111.600	209.973	4.145
111.800	209.974	4.145
112.000	209.974	4.145
112.200	209.974	4.145
112.400	209.974	4.145
112.600	209.974	4.145
112.800	209.974	4.145
113.000	209.974	4.145
113.200	209.976	4.145
113.400	209.974	4.145
113.600	209.974	4.145
113.800	209.975	4.145
114.000	209.975	4.145
114.200	209.972	4.145
114.400	209.973	4.145
114.600	209.974	4.145
114.800	209.974	4.145
115.000	209.974	4.145
115.200	209.976	4.145
115.400	209.974	4.145
115.600	209.975	4.145
115.800	209.974	4.145
116.000	209.974	4.145
116.200	209.974	4.145
116.400	209.976	4.145
116.600	209.975	4.145
116.800	209.975	4.146
117.000	209.973	4.145
117.200	209.975	4.145
117.400	209.975	4.145
117.600	209.975	4.145
117.800	209.973	4.145
118.000	209.974	4.145
118.200	209.974	4.145
118.400	209.974	4.145
118.600	209.973	4.145
118.800	209.971	4.145
119.000	209.973	4.145
119.200	209.972	4.145
119.400	209.976	4.146
119.600	209.974	4.146
119.800	209.974	4.146
120.000	209.975	4.146
120.200	209.973	4.145
120.400	209.974	4.146
120.600	209.973	4.146
120.800	209.975	4.146
121.000	209.977	4.146
121.200	209.975	4.146
121.400	209.975	4.146
121.600	209.976	4.146
121.800	209.975	4.146
122.000	209.975	4.146
122.200	209.974	4.146
122.400	209.976	4.146
122.600	209.974	4.146
122.800	209.974	4.146
123.000	209.974	4.146
123.200	209.974	4.146
123.400	209.973	4.146
123.600	209.973	4.146
123.800	209.974	4.146
124.000	209.974	4.146
124.200	209.974	4.146
124.400	209.974	4.146
124.600	209.974	4.146
124.800	209.975	4.146
125.000	209.976	4.146
125.200	209.975	4.146
125.400	209.975	4.146
125.600	209.976	4.146
125.800	209.976	4.146
126.000	209.977	4.146
126.200	209.977	4.146
126.400	209.976	4.146
126.600	209.975	4.146
126.800	209.976	4.146
127.000	209.977	4.146
127.200	209.975	4.146
127.400	209.977	4.146
127.600	209.976	4.146
127.800	209.976	4.146
128.000	209.974	4.146
128.200	209.974	4.146
128.400	209.974	4.146
128.600	209.975	4.146
128.800	209.976	4.146
129.000	209.974	4.146
129.200	209.974	4.146
129.400	209.974	4.146
129.600	209.976	4.146
129.800	209.975	4.146
130.000	209.977	4.146
130.200	209.974	4.146
130.400	209.976	4.146
130.600	209.975	4.146
130.800	209.977	4.146
131.000	209.976	4.146
131.200	209.976	4.146
131.400	209.976	4.146
131.600	209.976	4.146
131.800	209.975	4.146
132.000	209.973	4.146
132.200	209.973	4.146
132.400	209.974	4.146
132.600	209.972	4.146
132.800	209.974	4.146
133.000	209.973	4.146
133.200	209.974	4.146
133.400	209.975	4.146
133.600	209.973	4.146
133.800	209.973	4.146
134.000	209.974	4.146
134.200	209.975	4.146
134.400	209.975	4.146
134.600	209.977	4.146
134.800	209.975	4.146
135.000	209.976	4.146
135.200	209.974	4.146
135.400	209.974	4.146
135.600	209.974	4.146
135.800	209.974	4.146
136.000	209.974	4.146
136.200	209.976	4.146
136.400	209.974	4.146
136.600	209.975	4.146
136.800	209.974	4.146
137.000	209.975	4.146
137.200	209.975	4.146
137.400	209.974	4.146
137.600	209.974	4.146
137.800	209.974	4.146
138.000	209.972	4.146
138.200	209.974	4.146
138.400	209.974	4.146
138.600	209.975	4.146
138.800	209.975	4.146
139.000	209.975	4.146
139.200	209.974	4.146
139.400	209.975	4.146
139.600	209.976	4.146
139.800	209.974	4.146
140.000	209.974	4.146
140.200	209.975	4.146
140.400	209.975	4.146
140.600	209.974	4.146
140.800	209.974	4.146
141.000	209.974	4.146
141.200	209.974	4.146
141.400	209.975	4.146
141.600	209.973	4.146
141.800	209.973	4.146
142.000	209.972	4.146
142.200	209.973	4.146
142.400	209.974	4.146
142.600	209.976	4.146
142.800	209.974	4.146
143.000	209.975	4.146
143.200	209.975	4.146
143.400	209.973	4.146
143.600	209.973	4.146
143.800	209.974	4.146
144.000	209.976	4.146
144.200	209.975	4.146
144.400	209.975	4.146
144.600	209.973	4.146
144.800	209.976	4.146
145.000	209.975	4.146
145.200	209.974	4.146
145.400	209.975	4.146
145.600	209.974	4.146
145.800	209.974	4.146
146.000	209.973	4.146
146.200	209.974	4.146
146.400	209.975	4.146
146.600	209.974	4.146
146.800	209.972	4.146
147.000	209.973	4.146
147.200	209.974	4.146
147.400	209.974	4.146
147.600	209.974	4.146
147.800	209.974	4.146
148.000	209.972	4.146
148.200	209.972	4.146
148.400	209.974	4.146
148.600	209.974	4.146
148.800	209.975	4.146
149.000	209.975	4.146
149.200	209.973	4.146
149.400	209.974	4.146
149.600	209.975	4.146
149.800	209.977	4.146
150.000	209.974	4.146
150.200	209.972	4.146
150.400	209.974	4.146
150.600	209.976	4.147
150.800	209.975	4.147
151.000	209.976	4.146
151.200	209.976	4.147
151.400	209.975	4.147
151.600	209.976	4.147
151.800	209.978	4.147
152.000	209.976	4.147
152.200	209.974	4.147
152.400	209.975	4.147
152.600	209.975	4.147
152.800	209.974	4.147
153.000	209.975	4.147
153.200	209.975	4.147
153.400	209.975	4.147
153.600	209.975	4.147
153.800	209.976	4.147
154.000	209.974	4.147
154.200	209.975	4.147
154.400	209.974	4.147
154.600	209.974	4.147
154.800	209.973	4.147
155.000	209.974	4.147
155.200	209.975	4.147
155.400	209.974	4.147
155.600	209.976	4.147
155.800	209.976	4.147
156.000	209.977	4.147
156.200	209.975	4.147
156.400	209.975	4.147
156.600	209.975	4.147
156.800	209.974	4.147
157.000	209.973	4.147
157.200	209.974	4.147
157.400	209.973	4.147
157.600	209.974	4.147
157.800	209.973	4.147
158.000	209.973	4.147
158.200	209.972	4.147
158.400	209.973	4.147
158.600	209.973	4.147
158.800	209.973	4.147
159.000	209.973	4.147
159.200	209.972	4.147
159.400	209.973	4.147
159.600	209.974	4.147
159.800	209.974	4.147
160.000	209.974	4.147
160.200	209.974	4.147
160.400	209.972	4.147
160.600	209.974	4.147
160.800	209.972	4.147
161.000	209.974	4.147
161.200	209.973	4.147
161.400	209.975	4.147
161.600	209.974	4.147
161.800	209.972	4.147
162.000	209.973	4.147
162.200	209.974	4.147
162.400	209.973	4.147
162.600	209.973	4.147
162.800	209.973	4.147
163.000	209.972	4.147
163.200	209.973	4.147
163.400	209.973	4.147
163.600	209.973	4.147
163.800	209.974	4.147
164.000	209.974	4.147
164.200	209.973	4.147
164.400	209.973	4.147
164.600	209.972	4.147
164.800	209.977	4.147
165.000	209.973	4.147
165.200	209.974	4.147
165.400	209.974	4.147
165.600	209.974	4.147
165.800	209.974	4.147
166.000	209.975	4.147
166.200	209.975	4.147
166.400	209.975	4.147
166.600	209.974	4.147
166.800	209.974	4.147
167.000	209.975	4.147
167.200	209.975	4.147
167.400	209.973	4.147
167.600	209.973	4.147
167.800	209.973	4.147
168.000	209.976	4.147
168.200	209.974	4.147
168.400	209.975	4.147
168.600	209.975	4.147
168.800	209.974	4.147
169.000	209.976	4.147
169.200	209.976	4.147
169.400	209.974	4.147
169.600	209.973	4.147
169.800	209.975	4.147
170.000	209.976	4.147
170.200	209.975	4.147
170.400	209.974	4.147
