freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.137E-01	1.069E+00	
7.943E+02	1.139E-01	8.483E-01	
6.310E+02	1.140E-01	6.735E-01	
5.012E+02	1.143E-01	5.346E-01	
3.981E+02	1.146E-01	4.243E-01	
3.162E+02	1.149E-01	3.366E-01	
2.512E+02	1.151E-01	2.670E-01	
1.995E+02	1.154E-01	2.117E-01	
1.585E+02	1.157E-01	1.677E-01	
1.259E+02	1.160E-01	1.328E-01	
1.000E+02	1.162E-01	1.051E-01	
7.943E+01	1.167E-01	8.395E-02	
6.310E+01	1.169E-01	6.634E-02	
5.200E+01	1.171E-01	5.431E-02	
3.981E+01	1.173E-01	4.111E-02	
3.162E+01	1.176E-01	3.221E-02	
2.512E+01	1.178E-01	2.508E-02	
1.995E+01	1.181E-01	1.940E-02	
1.585E+01	1.184E-01	1.483E-02	
1.259E+01	1.188E-01	1.131E-02	
1.000E+01	1.192E-01	8.283E-03	
7.943E+00	1.196E-01	6.016E-03	
6.310E+00	1.200E-01	4.308E-03	
5.012E+00	1.205E-01	2.859E-03	
3.981E+00	1.208E-01	1.711E-03	
3.162E+00	1.214E-01	1.090E-03	
2.512E+00	1.216E-01	3.787E-04	
1.995E+00	1.220E-01	-1.302E-04	
1.585E+00	1.222E-01	-4.257E-04	
1.259E+00	1.225E-01	-6.955E-04	
1.000E+00	1.227E-01	-9.882E-04	
7.943E-01	1.230E-01	-1.194E-03	
6.310E-01	1.231E-01	-1.443E-03	
5.012E-01	1.237E-01	-1.111E-03	
3.981E-01	1.239E-01	-1.406E-03	
3.162E-01	1.240E-01	-1.729E-03	
2.512E-01	1.242E-01	-2.074E-03	
1.995E-01	1.245E-01	-2.511E-03	
1.585E-01	1.248E-01	-3.021E-03	
1.259E-01	1.251E-01	-3.505E-03	
1.000E-01	1.255E-01	-4.180E-03	
7.943E-02	1.259E-01	-4.763E-03	
6.310E-02	1.263E-01	-5.541E-03	
5.012E-02	1.270E-01	-6.469E-03	
3.981E-02	1.275E-01	-7.575E-03	
3.162E-02	1.282E-01	-8.752E-03	
2.512E-02	1.292E-01	-1.022E-02	
1.995E-02	1.300E-01	-1.182E-02	
1.585E-02	1.313E-01	-1.376E-02	
1.259E-02	1.326E-01	-1.632E-02	
1.000E-02	1.340E-01	-1.865E-02	
