freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	8.507E-02	1.069E+00	
7.943E+02	8.528E-02	8.483E-01	
6.310E+02	8.542E-02	6.735E-01	
5.012E+02	8.567E-02	5.347E-01	
3.981E+02	8.592E-02	4.244E-01	
3.162E+02	8.620E-02	3.367E-01	
2.512E+02	8.643E-02	2.672E-01	
1.995E+02	8.670E-02	2.119E-01	
1.585E+02	8.696E-02	1.680E-01	
1.259E+02	8.719E-02	1.332E-01	
1.000E+02	8.745E-02	1.056E-01	
7.943E+01	8.780E-02	8.432E-02	
6.310E+01	8.798E-02	6.681E-02	
5.200E+01	8.810E-02	5.494E-02	
3.981E+01	8.829E-02	4.192E-02	
3.162E+01	8.841E-02	3.319E-02	
2.512E+01	8.854E-02	2.629E-02	
1.995E+01	8.858E-02	2.081E-02	
1.585E+01	8.867E-02	1.646E-02	
1.259E+01	8.872E-02	1.305E-02	
1.000E+01	8.880E-02	1.028E-02	
7.943E+00	8.880E-02	8.121E-03	
6.310E+00	8.885E-02	6.369E-03	
5.012E+00	8.890E-02	5.008E-03	
3.981E+00	8.891E-02	3.887E-03	
3.162E+00	8.900E-02	2.989E-03	
2.512E+00	8.896E-02	2.374E-03	
1.995E+00	8.906E-02	1.658E-03	
1.585E+00	8.907E-02	1.177E-03	
1.259E+00	8.911E-02	6.920E-04	
1.000E+00	8.922E-02	3.890E-04	
7.943E-01	8.928E-02	1.403E-04	
6.310E-01	8.931E-02	-2.181E-04	
5.012E-01	8.953E-02	-9.916E-05	
3.981E-01	8.961E-02	-3.669E-04	
3.162E-01	8.974E-02	-6.214E-04	
2.512E-01	8.986E-02	-9.997E-04	
1.995E-01	9.001E-02	-1.301E-03	
1.585E-01	9.020E-02	-1.680E-03	
1.259E-01	9.039E-02	-1.902E-03	
1.000E-01	9.066E-02	-2.197E-03	
7.943E-02	4.243E-01	-5.213E-02	
6.310E-02	9.259E-02	-4.285E-03	
5.012E-02	8.983E-02	-1.595E-03	
3.981E-02	9.187E-02	-3.964E-03	
3.162E-02	9.206E-02	-4.623E-03	
2.512E-02	9.266E-02	-5.119E-03	
1.995E-02	9.322E-02	-5.901E-03	
1.585E-02	9.402E-02	-6.624E-03	
1.259E-02	9.516E-02	-7.826E-03	
1.000E-02	4.938E-01	-3.195E-02	
