freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	8.534E-02	1.069E+00	
7.943E+02	8.551E-02	8.483E-01	
6.310E+02	8.565E-02	6.735E-01	
5.012E+02	8.591E-02	5.346E-01	
3.981E+02	8.618E-02	4.242E-01	
3.162E+02	8.645E-02	3.366E-01	
2.512E+02	8.673E-02	2.670E-01	
1.995E+02	8.701E-02	2.117E-01	
1.585E+02	8.728E-02	1.678E-01	
1.259E+02	8.756E-02	1.329E-01	
1.000E+02	8.785E-02	1.053E-01	
7.943E+01	8.823E-02	8.394E-02	
6.310E+01	8.847E-02	6.638E-02	
5.200E+01	8.867E-02	5.445E-02	
3.981E+01	8.895E-02	4.137E-02	
3.162E+01	8.916E-02	3.263E-02	
2.512E+01	8.938E-02	2.568E-02	
1.995E+01	8.960E-02	2.019E-02	
1.585E+01	8.977E-02	1.591E-02	
1.259E+01	8.997E-02	1.254E-02	
1.000E+01	9.009E-02	9.809E-03	
7.943E+00	9.018E-02	7.700E-03	
6.310E+00	9.036E-02	6.034E-03	
5.012E+00	9.036E-02	4.728E-03	
3.981E+00	9.039E-02	3.641E-03	
3.162E+00	9.040E-02	2.810E-03	
2.512E+00	9.053E-02	2.101E-03	
1.995E+00	9.059E-02	1.482E-03	
1.585E+00	9.062E-02	1.071E-03	
1.259E+00	9.066E-02	7.105E-04	
1.000E+00	9.073E-02	3.598E-04	
7.943E-01	9.073E-02	-4.814E-06	
6.310E-01	9.088E-02	-1.566E-04	
5.012E-01	9.089E-02	-2.950E-05	
3.981E-01	9.117E-02	-2.506E-04	
3.162E-01	9.124E-02	-6.139E-04	
2.512E-01	9.138E-02	-9.879E-04	
1.995E-01	9.157E-02	-1.292E-03	
1.585E-01	9.165E-02	-1.531E-03	
1.259E-01	9.185E-02	-1.772E-03	
1.000E-01	9.210E-02	-2.255E-03	
7.943E-02	9.242E-02	-2.612E-03	
6.310E-02	9.262E-02	-3.089E-03	
5.012E-02	9.300E-02	-3.484E-03	
3.981E-02	9.320E-02	-4.066E-03	
3.162E-02	9.372E-02	-4.755E-03	
2.512E-02	9.420E-02	-5.627E-03	
1.995E-02	9.472E-02	-6.411E-03	
1.585E-02	9.555E-02	-7.494E-03	
1.259E-02	9.636E-02	-8.656E-03	
1.000E-02	9.734E-02	-9.868E-03	
