freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.137E-01	1.069E+00	
7.943E+02	1.139E-01	8.485E-01	
6.310E+02	1.140E-01	6.737E-01	
5.012E+02	1.142E-01	5.348E-01	
3.981E+02	1.144E-01	4.244E-01	
3.162E+02	1.147E-01	3.368E-01	
2.512E+02	1.149E-01	2.671E-01	
1.995E+02	1.151E-01	2.118E-01	
1.585E+02	1.154E-01	1.679E-01	
1.259E+02	1.156E-01	1.329E-01	
1.000E+02	1.159E-01	1.052E-01	
7.943E+01	1.164E-01	8.397E-02	
6.310E+01	1.165E-01	6.632E-02	
5.200E+01	1.167E-01	5.429E-02	
3.981E+01	1.170E-01	4.109E-02	
3.162E+01	1.172E-01	3.213E-02	
2.512E+01	1.175E-01	2.499E-02	
1.995E+01	1.178E-01	1.934E-02	
1.585E+01	1.180E-01	1.476E-02	
1.259E+01	1.183E-01	1.105E-02	
1.000E+01	1.187E-01	8.026E-03	
7.943E+00	1.192E-01	5.618E-03	
6.310E+00	1.196E-01	3.701E-03	
5.012E+00	1.202E-01	2.115E-03	
3.981E+00	1.206E-01	9.087E-04	
3.162E+00	1.212E-01	3.700E-05	
2.512E+00	1.218E-01	-7.633E-04	
1.995E+00	1.224E-01	-1.313E-03	
1.585E+00	1.228E-01	-1.830E-03	
1.259E+00	1.233E-01	-2.204E-03	
1.000E+00	1.238E-01	-2.491E-03	
7.943E-01	1.242E-01	-2.784E-03	
6.310E-01	1.248E-01	-3.162E-03	
5.012E-01	1.254E-01	-2.823E-03	
3.981E-01	1.257E-01	-3.162E-03	
3.162E-01	1.261E-01	-3.904E-03	
2.512E-01	1.268E-01	-4.530E-03	
1.995E-01	1.272E-01	-4.756E-03	
1.585E-01	1.276E-01	-6.000E-03	
1.259E-01	1.286E-01	-6.552E-03	
1.000E-01	1.286E-01	-7.835E-03	
7.943E-02	1.299E-01	-8.163E-03	
6.310E-02	1.304E-01	-1.079E-02	
5.012E-02	1.303E-01	-1.174E-02	
3.981E-02	1.319E-01	-1.285E-02	
3.162E-02	1.342E-01	-1.615E-02	
2.512E-02	1.349E-01	-2.064E-02	
1.995E-02	1.345E-01	-2.454E-02	
1.585E-02	1.352E-01	-2.737E-02	
1.259E-02	1.377E-01	-3.123E-02	
1.000E-02	1.414E-01	-3.666E-02	
