frequency,gamma
3.16227766016838,4.4592703841286e-17
3.04878629930116,2.04449094574401e-16
2.93936804344738,9.05186382241547e-16
2.83387671245443,3.87010071094707e-15
2.73217137244667,1.5978571727874e-14
2.63411614754118,6.37066958837268e-14
2.53958003832083,2.45280848951577e-13
2.44843674682223,9.11955474917159e-13
2.36056450780468,3.27427433597495e-12
2.27584592607479,1.1352406352332e-11
2.19416781964925,3.80095061379844e-11
2.11542106854651,1.2289323041595e-10
2.03950046900506,3.83702941737493e-10
1.96630459293376,1.15689443518993e-09
1.89573565240638,3.36840086446767e-09
1.82769936901922,9.47076898045241e-09
1.76210484793751,2.57145039414294e-08
1.69886445646205,6.74221338310841e-08
1.63789370695406,1.70709728127617e-07
1.57911114396174,4.17393309032495e-07
1.52243823539771,9.85517022069411e-07
1.46779926762207,2.24705763468278e-06
1.41512124429079,4.94761307366605e-06
1.36433378883436,1.05198289885976e-05
1.31536905043638,2.15999659367649e-05
1.2681616133865,4.28281078275344e-05
1.22264840968663,8.20042089184685e-05
1.17876863479359,0.000151626403620958
1.13646366638572,0.000270735346502581
1.09567698604489,0.000466816846280839
1.05635410374919,0.000777283619675021
1.01844248507565,0.00124980985737524
0.981891481015469,0.00194061690649642
0.94665226030819,0.00290982660481579
0.912677744204287,0.00421333358275841
0.879922543569107,0.00589136613981065
0.848342898244072,0.00795495300940841
0.817896618584167,0.0103726723006098
0.788543029093588,0.0130609609657575
0.760242914084262,0.015881482494371
0.732958465284632,0.0186482629254814
0.706653231328715,0.0211454612101776
0.681292069057961,0.0231540717793143
0.656841096570836,0.0244832475254509
0.633267647957418,0.0250001207406688
0.610540229658533,0.0246516858027608
0.588628478391113,0.0234737554776581
0.567503120583586,0.0215848961550387
0.54713593326709,0.0191667635727078
0.527499706370262,0.0164353532411271
0.508568206367245,0.0136094550176656
0.490316141230326,0.0108826299328495
0.472719126640397,0.00840346552145253
0.455753653410091,0.00626634668934381
0.439397056076079,0.00451234035394705
0.423627482618552,0.00313776717781115
0.408423865267452,0.00210703144285238
0.393765892356439,0.00136632102750002
0.379633981186992,0.000855590438437217
0.3660092518664,0.000517381061759368
0.352873502084675,0.000302124933496243
0.340209182796711,0.000170370360742268
0.327999374777175,9.27754254877123e-05
0.316227766016838,4.87869102739013e-05
0.304878629930116,2.47745175079065e-05
0.293936804344738,1.2148963440518e-05
0.283387671245443,5.75320319342496e-06
0.273217137244667,2.63116511531139e-06
0.263411614754118,1.16273850860955e-06
0.253958003832083,4.98373667016971e-07
0.244843674682223,2.12794708092507e-07
0.236056450780468,1.06414628688063e-07
0.227584592607479,1.01510267769321e-07
0.219416781964925,2.00617088636117e-07
0.211542106854651,4.94781989626096e-07
0.203950046900506,1.23104613482548e-06
0.196630459293376,2.97636525720094e-06
0.189573565240638,6.95538972487729e-06
0.182769936901922,1.56985924640853e-05
0.176210484793751,3.4218769983118e-05
0.169886445646205,7.20331957686412e-05
0.163789370695406,0.000146444348937807
0.157911114396174,0.000287537103120881
0.152243823539771,0.000545266343652068
0.146779926762207,0.000998693381431972
0.141512124429079,0.00176678278533174
0.136433378883436,0.00301915226052915
0.131536905043638,0.00498386995751307
0.12681616133865,0.00794811372481238
0.122264840968662,0.0122467668398984
0.117876863479359,0.0182344855532745
0.113646366638572,0.0262390175692515
0.109567698604489,0.0364977590462752
0.105635410374919,0.0490851774615578
0.101844248507565,0.0638444175246187
0.0981891481015468,0.0803401335357578
0.094665226030819,0.0978493242987529
0.0912677744204287,0.115401509868387
0.0879922543569107,0.131869437845803
0.0848342898244072,0.146098989603666
0.0817896618584167,0.157055788343942
0.0788543029093588,0.163960015536191
0.0760242914084262,0.166382528676418
0.0732958465284632,0.164284422773172
0.0706653231328715,0.157995921046315
0.0681292069057961,0.148144502902744
0.0656841096570836,0.135552146200159
0.0633267647957418,0.121124888143507
0.0610540229658533,0.1057545997408
0.0588628478391113,0.0902452132129228
0.0567503120583586,0.0752669927276551
0.0547135933267089,0.0613357264424143
0.0527499706370262,0.0488104074691102
0.0508568206367245,0.0379028536981002
0.0490316141230326,0.0286944576056585
0.0472719126640397,0.0211572902539998
0.0455753653410091,0.0151780518237646
0.0439397056076079,0.0105836111962585
0.0423627482618552,0.00716649556240661
0.0408423865267452,0.00470829315760906
0.0393765892356439,0.00299897560435591
0.0379633981186992,0.00185074300129782
0.03660092518664,0.00110594786235804
0.0352873502084675,0.000639628590694718
0.0340209182796711,0.00035788950426215
0.0327999374777175,0.000193664869316698
0.0316227766016838,0.000101323924443422
0.0304878629930117,5.12427697938813e-05
0.0293936804344738,2.50455739404017e-05
0.0283387671245443,1.18287991836823e-05
0.0273217137244667,5.39768540869538e-06
0.0263411614754118,2.37951213483457e-06
0.0253958003832083,1.01331926145479e-06
0.0244843674682223,4.16825308610974e-07
0.0236056450780468,1.65610623882424e-07
0.0227584592607479,6.35521197240016e-08
0.0219416781964925,2.35539990614741e-08
0.0211542106854651,8.4310176510959e-09
0.0203950046900506,2.91451595567126e-09
0.0196630459293376,9.73007857702448e-10
0.0189573565240638,3.13706870557141e-10
0.0182769936901922,9.76756668245252e-11
0.0176210484793751,2.93701524709491e-11
0.0169886445646205,8.52913902121239e-12
