freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.061E-01	-7.984E-04	
7.943E+02	1.061E-01	-8.943E-04	
6.310E+02	1.063E-01	-1.242E-03	
5.012E+02	1.065E-01	-1.373E-03	
3.981E+02	1.070E-01	-1.358E-03	
3.162E+02	1.070E-01	-1.460E-03	
2.512E+02	1.073E-01	-1.532E-03	
1.995E+02	1.076E-01	-1.559E-03	
1.585E+02	1.079E-01	-1.531E-03	
1.259E+02	1.082E-01	-1.520E-03	
1.000E+02	1.084E-01	-1.547E-03	
7.943E+01	1.088E-01	-1.380E-03	
6.310E+01	1.089E-01	-1.316E-03	
5.200E+01	1.093E-01	-1.267E-03	
3.981E+01	1.092E-01	-1.087E-03	
3.162E+01	1.095E-01	-1.144E-03	
2.512E+01	1.094E-01	-9.557E-04	
1.995E+01	1.099E-01	-8.682E-04	
1.585E+01	1.101E-01	-8.851E-04	
1.259E+01	1.100E-01	-7.006E-04	
1.000E+01	1.105E-01	-2.377E-04	
7.943E+00	1.103E-01	-4.536E-04	
6.310E+00	1.101E-01	-7.872E-04	
5.012E+00	1.102E-01	-1.141E-04	
3.981E+00	1.101E-01	-4.982E-04	
3.162E+00	1.102E-01	-5.936E-04	
2.512E+00	1.103E-01	-1.409E-04	
1.995E+00	1.103E-01	-7.087E-04	
1.585E+00	1.104E-01	-5.471E-04	
1.259E+00	1.102E-01	-6.891E-04	
1.000E+00	1.104E-01	-6.526E-04	
7.943E-01	1.105E-01	-6.781E-04	
6.310E-01	1.106E-01	-8.590E-04	
5.012E-01	1.106E-01	-7.508E-04	
3.981E-01	1.108E-01	-7.917E-04	
3.162E-01	1.109E-01	-1.102E-03	
2.512E-01	1.111E-01	-1.314E-03	
1.995E-01	1.112E-01	-1.472E-03	
1.585E-01	1.114E-01	-1.811E-03	
1.259E-01	1.116E-01	-1.996E-03	
1.000E-01	1.119E-01	-2.282E-03	
7.943E-02	1.121E-01	-2.626E-03	
6.310E-02	1.124E-01	-3.021E-03	
5.012E-02	1.128E-01	-3.514E-03	
3.981E-02	1.131E-01	-3.988E-03	
3.162E-02	1.133E-01	-4.586E-03	
2.512E-02	1.140E-01	-5.354E-03	
1.995E-02	1.145E-01	-6.239E-03	
1.585E-02	1.150E-01	-6.988E-03	
1.259E-02	1.161E-01	-8.219E-03	
1.000E-02	1.170E-01	-9.453E-03	
