frequency,gamma
3162.27766016838,1.79364949429078e-10
3077.60005277838,4.02164197173344e-10
2995.18989245149,8.84511420975473e-10
2914.98646282665,1.90826067305688e-09
2836.93067336974,4.03837058730603e-09
2760.96501583811,8.38318123221505e-09
2687.03352191097,1.70704808579282e-08
2615.08172195422,3.40970549637087e-08
2545.05660488951,6.68070352750263e-08
2476.90657913791,1.28399030301134e-07
2410.5814346094,2.42066952851918e-07
2346.03230571013,4.47655039200726e-07
2283.21163534035,8.12055415423878e-07
2222.07313985626,1.44498078195726e-06
2162.57177497023,2.52216032747368e-06
2104.663702564,4.31834687119681e-06
2048.30625839061,7.25264754983509e-06
1993.45792064115,1.19484022990355e-05
1940.07827935325,1.93088903100949e-05
1888.12800663868,3.06082858797342e-05
1837.56882770823,4.7594297119226e-05
1788.36349267243,7.25947210615911e-05
1740.47574909742,0.000108614893108599
1693.87031529562,0.000159407199591995
1648.5128543317,0.000229488380110033
1604.36994872453,0.00032407660711654
1561.40907582661,0.000448919924594948
1519.59858386273,0.00060999221740777
1478.90766861025,0.000813043761466975
1439.30635070385,0.00106301101416951
1400.76545354798,0.00136331377197479
1363.25658182079,0.00171509465829241
1326.75210055361,0.00211648201138167
1291.22511477066,0.00256197733783264
1256.64944967399,0.00304207698872186
1222.99963135896,0.00354322990681764
1190.25086804612,0.00404820670540515
1158.37903181569,0.00453691081065495
1127.36064083111,0.00498760461887235
1097.1728420386,0.00537846082964338
1067.79339432996,0.00568929189960662
1039.2006521563,0.00590326987623789
1011.37354958048,0.00600843371489966
984.291584756605,0.00599879644785214
957.934804825122,0.0058749096470593
932.283791212395,0.00564381114502688
907.319645323909,0.00531836290690843
883.023974620571,0.00491606571489772
859.378879067861,0.00445750260226757
836.366937947835,0.00396460337229649
813.971197024265,0.00345893261653346
792.175156051468,0.00296018376256838
770.962756617616,0.00248501753413753
750.318370313567,0.00204632428208993
730.226787218509,0.00165292699657161
710.673204693925,0.00130968575223815
691.643216477627,0.00101792257941505
673.122802069825,0.000776062338006662
655.098316403411,0.000580380326659562
637.55647979084,0.000425758152118091
620.484368140212,0.000306370874959073
603.869403433345,0.000216255019344365
587.699344458815,0.000149733553259299
571.962277793139,0.000101696564069095
556.646609023472,6.77528618369455e-05
