frequency,gamma
3162.27766016838,2.01219170466346e-10
3077.60005277838,4.51164769951233e-10
2995.18989245149,9.92282243343584e-10
2914.98646282665,2.14076736223141e-09
2836.93067336974,4.53041456650212e-09
2760.96501583811,9.40460652309525e-09
2687.03352191097,1.91503858955015e-08
2615.08172195422,3.8251515343335e-08
2545.05660488951,7.49469517993655e-08
2476.90657913791,1.44043451343838e-07
2410.5814346094,2.71560924278791e-07
2346.03230571013,5.02198316503676e-07
2283.21163534035,9.10998038270052e-07
2222.07313985626,1.62104042741205e-06
2162.57177497023,2.82946590453033e-06
2104.663702564,4.84450377832457e-06
2048.30625839061,8.13632612340262e-06
1993.45792064115,1.34042219879796e-05
1940.07827935325,2.166152809225e-05
1888.12800663868,3.43376669395054e-05
1837.56882770823,5.3393291251958e-05
1788.36349267243,8.14398219872108e-05
1740.47574909742,0.00012184877124081
1693.87031529562,0.000178829724371246
1648.5128543317,0.000257449750491331
1604.36994872453,0.000363562815695621
1561.40907582661,0.000503617318324101
1519.59858386273,0.000684315014546651
1478.90766861025,0.000912106806574889
1439.30635070385,0.00119253062066263
1400.76545354798,0.00152942292881243
1363.25658182079,0.00192406557419023
1326.75210055361,0.00237435884766081
1291.22511477066,0.00287413430724994
1256.64944967399,0.00341273035848853
1222.99963135896,0.00397494485344422
1190.25086804612,0.00454144913892452
1158.37903181569,0.00508969803022056
1127.36064083111,0.00559530536606006
1097.1728420386,0.00603378435960537
1067.79339432996,0.0063824877726872
1039.2006521563,0.0066225372979309
1011.37354958048,0.0067405145306396
984.291584756605,0.00672970303771951
957.934804825122,0.00659072159587922
932.283791212395,0.00633146554265927
907.319645323909,0.00596636397341525
883.023974620571,0.00551505000424235
859.378879067861,0.00500061455058427
836.366937947835,0.00444765939131835
813.971197024265,0.0038803765953897
792.175156051468,0.00332085908104068
770.962756617616,0.00278779755133371
750.318370313567,0.00229565294589559
730.226787218509,0.00185432326745131
710.673204693925,0.00146926075287165
691.643216477627,0.00114194851157277
673.122802069825,0.000870619484915694
655.098316403411,0.000651095145719096
637.55647979084,0.000477633464404153
620.484368140212,0.000343699778081161
603.869403433345,0.000242604007863096
587.699344458815,0.000167977419633628
571.962277793139,0.000114087497732366
556.646609023472,7.60080199555806e-05
