freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.076E-01	-7.052E-04	
7.943E+02	1.078E-01	-1.032E-03	
6.310E+02	1.080E-01	-1.437E-03	
5.012E+02	1.083E-01	-1.549E-03	
3.981E+02	1.086E-01	-1.636E-03	
3.162E+02	1.089E-01	-1.725E-03	
2.512E+02	1.092E-01	-1.746E-03	
1.995E+02	1.095E-01	-1.755E-03	
1.585E+02	1.098E-01	-1.759E-03	
1.259E+02	1.101E-01	-1.731E-03	
1.000E+02	1.104E-01	-1.679E-03	
7.943E+01	1.108E-01	-1.093E-03	
6.310E+01	1.111E-01	-1.125E-03	
5.200E+01	1.113E-01	-1.155E-03	
3.981E+01	1.115E-01	-1.117E-03	
3.162E+01	1.117E-01	-1.046E-03	
2.512E+01	1.119E-01	-9.844E-04	
1.995E+01	1.120E-01	-9.300E-04	
1.585E+01	1.122E-01	-8.510E-04	
1.259E+01	1.123E-01	-7.750E-04	
1.000E+01	1.124E-01	-5.908E-04	
7.943E+00	1.124E-01	-6.147E-04	
6.310E+00	1.125E-01	-5.994E-04	
5.012E+00	1.125E-01	-5.358E-04	
3.981E+00	1.126E-01	-5.404E-04	
3.162E+00	1.126E-01	-5.682E-04	
2.512E+00	1.127E-01	-2.905E-04	
1.995E+00	1.127E-01	-5.494E-04	
1.585E+00	1.127E-01	-5.407E-04	
1.259E+00	1.128E-01	-6.136E-04	
1.000E+00	1.128E-01	-6.185E-04	
7.943E-01	1.130E-01	-7.051E-04	
6.310E-01	1.130E-01	-8.717E-04	
5.012E-01	1.133E-01	-1.319E-04	
3.981E-01	1.133E-01	-4.081E-04	
3.162E-01	1.134E-01	-6.615E-04	
2.512E-01	1.135E-01	-9.688E-04	
1.995E-01	1.136E-01	-1.326E-03	
1.585E-01	1.138E-01	-1.537E-03	
1.259E-01	1.140E-01	-1.950E-03	
1.000E-01	1.142E-01	-2.243E-03	
7.943E-02	1.145E-01	-2.616E-03	
6.310E-02	1.147E-01	-2.926E-03	
5.012E-02	1.150E-01	-3.422E-03	
3.981E-02	1.154E-01	-3.969E-03	
3.162E-02	1.157E-01	-4.654E-03	
2.512E-02	1.162E-01	-5.299E-03	
1.995E-02	1.169E-01	-6.086E-03	
1.585E-02	1.174E-01	-7.100E-03	
1.259E-02	1.183E-01	-7.958E-03	
1.000E-02	1.192E-01	-9.044E-03	
