freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.133E-01	-8.336E-04	
7.943E+02	1.133E-01	-9.673E-04	
6.310E+02	1.138E-01	-1.423E-03	
5.012E+02	1.140E-01	-1.524E-03	
3.981E+02	1.143E-01	-1.550E-03	
3.162E+02	1.145E-01	-1.571E-03	
2.512E+02	1.148E-01	-1.738E-03	
1.995E+02	1.151E-01	-1.666E-03	
1.585E+02	1.155E-01	-1.690E-03	
1.259E+02	1.157E-01	-1.698E-03	
1.000E+02	1.159E-01	-1.635E-03	
7.943E+01	1.163E-01	-1.478E-03	
6.310E+01	1.164E-01	-1.618E-03	
5.200E+01	1.168E-01	-1.532E-03	
3.981E+01	1.169E-01	-1.523E-03	
3.162E+01	1.171E-01	-1.094E-03	
2.512E+01	1.173E-01	-1.366E-03	
1.995E+01	1.177E-01	-1.320E-03	
1.585E+01	1.177E-01	-1.122E-03	
1.259E+01	1.178E-01	-1.060E-03	
1.000E+01	1.182E-01	-7.255E-04	
7.943E+00	1.184E-01	-1.124E-03	
6.310E+00	1.183E-01	-5.523E-04	
5.012E+00	1.185E-01	-8.901E-04	
3.981E+00	1.187E-01	-8.049E-04	
3.162E+00	1.184E-01	-8.373E-04	
2.512E+00	1.189E-01	-7.877E-04	
1.995E+00	1.185E-01	-7.262E-04	
1.585E+00	1.187E-01	-6.607E-04	
1.259E+00	1.190E-01	-6.941E-04	
1.000E+00	1.189E-01	-8.500E-04	
7.943E-01	1.191E-01	-9.064E-04	
6.310E-01	1.190E-01	-8.236E-04	
5.012E-01	1.191E-01	-7.131E-04	
3.981E-01	1.193E-01	-9.744E-04	
3.162E-01	1.194E-01	-1.182E-03	
2.512E-01	1.196E-01	-1.347E-03	
1.995E-01	1.197E-01	-1.644E-03	
1.585E-01	1.200E-01	-1.751E-03	
1.259E-01	1.202E-01	-2.122E-03	
1.000E-01	1.205E-01	-2.446E-03	
7.943E-02	1.207E-01	-2.841E-03	
6.310E-02	1.210E-01	-3.196E-03	
5.012E-02	1.213E-01	-3.601E-03	
3.981E-02	1.216E-01	-4.328E-03	
3.162E-02	1.220E-01	-4.826E-03	
2.512E-02	1.226E-01	-5.736E-03	
1.995E-02	1.232E-01	-6.648E-03	
1.585E-02	1.240E-01	-7.587E-03	
1.259E-02	1.249E-01	-8.709E-03	
1.000E-02	1.258E-01	-9.900E-03	
